GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총하차인원_lightgbm
다사495448,37.50153859,126.9292253,320,221.19,0,상도동,114034,1,8,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9174.786799800355
다사513449,37.50253655,126.9495824,289,146.82,0,상도1동,9802,4,11,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6385.599576124689
다사496449,37.50244537,126.9303498,296,356.94,0,상도동,114034,0,5,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14931.809571552838
다사476434,37.4888143,126.90783,495,501.4,0,신대방동,45025,4,11,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13823.727755570282
다사534420,37.47650629,126.973524,246,715.41,0,사당동,95821,2,2,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12081.825019443379
다사536424,37.48012168,126.9757607,392,652.96,0,사당동,95821,0,0,2,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14291.753514105443
다사515446,37.4998431,126.9518649,319,428.59,0,상도동,114034,3,9,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12152.528344689345
다사478434,37.48882562,126.9100923,248,315.72,0,신대방동,45025,0,10,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9456.902469499586
다사512444,37.49802465,126.9484842,280,496.18,0,상도동,114034,0,2,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14824.153075119622
다사518459,37.51157602,126.9551736,341,213.24,0,본동,10520,3,13,23,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,3666.5083531227356
다사514440,37.49442989,126.9507732,633,325.1,0,상도동,114034,0,1,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13897.996888266442
다사531421,37.47739246,126.9701248,394,592.78,0,사당동,95821,0,1,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14980.083494944669
다사520444,37.49806656,126.9575344,245,397.41,0,상도동,114034,0,3,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14691.809364834366
다사538424,37.48013169,126.9780227,488,511.12,0,사당동,95821,0,0,6,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14153.907000596402
다사521444,37.49807175,126.9586656,512,486.35,0,상도동,114034,2,4,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14542.559027420733
다사532453,37.50624006,126.9710524,294,737.37,0,흑석동,30047,2,6,6,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13582.624100793875
다사503446,37.49977933,126.9382893,307,567.0,0,상도동,114034,0,6,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,15698.256810629791
다사502459,37.51149113,126.9370701,284,731.41,0,노량진동,30270,0,9,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10667.129587997402
다사501440,37.4943606,126.9360674,298,878.74,0,상도동,114034,5,22,27,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6277.559565250836
다사524437,37.49177796,126.9621047,534,897.03,0,사당동,95821,1,4,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13975.863365382695
다사537422,37.47832403,126.9769043,420,462.06,0,사당동,95821,0,2,3,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14393.21305971365
다사521448,37.50167705,126.9586396,624,746.27,0,흑석동,30047,0,9,10,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10042.780361804224
다사491443,37.49701003,126.9247346,305,430.16,0,신대방동,45025,2,6,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12998.992008262912
다사530431,37.48640069,126.9689301,354,270.55,0,사당동,95821,5,12,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11031.568700391885
다사479436,37.4906339,126.9112092,404,390.08,0,신대방동,45025,0,2,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14873.950467885474
다사516445,37.49894702,126.9530027,258,304.39,0,상도동,114034,5,10,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,17798.5656510587
다사531437,37.49181374,126.9700229,276,798.11,0,사당동,95821,2,5,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13860.937665195755
다사499447,37.50065904,126.9337574,320,499.77,0,상도동,114034,6,11,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13502.866495981498
다사504458,37.51060057,126.9393398,263,601.98,0,노량진동,30270,2,5,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13572.912872291581
다사537436,37.49094266,126.9768163,412,655.99,0,사당동,95821,2,7,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,17084.36365558165
다사538434,37.48914501,126.97796,347,451.34,0,사당동,95821,1,6,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14637.370444814967
다사483440,37.49426165,126.9157057,658,258.31,0,신대방동,45025,4,11,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12523.102442412881
다사527449,37.50260929,126.9654211,286,735.77,0,흑석동,30047,2,4,5,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13582.624100793875
다사482437,37.49155209,126.9145956,269,461.65,0,신대방동,45025,0,2,6,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13791.415341682074
다사516447,37.50074967,126.9529896,429,499.19,0,상도동,114034,4,10,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14839.12445015048
다사539428,37.48374201,126.9791287,253,389.8,0,사당동,95821,5,13,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9417.303065157412
다사538431,37.48644101,126.9779788,308,341.98,0,사당동,95821,0,16,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6202.960758656366
다사534436,37.49092759,126.9734228,438,723.25,0,사당동,95821,3,11,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10070.787214341182
다사540434,37.48915498,126.9802223,276,307.9,0,사당동,95821,0,7,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,21503.851582352556
다사535421,37.47741266,126.9746486,400,623.82,0,사당동,95821,0,4,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14980.083494944669
다사489445,37.49880163,126.9224582,651,241.23,0,대방동,34112,4,14,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5740.279774173746
다사516449,37.50255232,126.9529764,422,444.27,0,상도1동,9802,2,8,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9082.909498987525
다사533424,37.48010657,126.9723677,336,521.42,0,사당동,95821,0,0,1,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14153.907000596402
다사531422,37.47829379,126.9701184,258,605.67,0,사당동,95821,0,0,1,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13242.494587315927
다사507450,37.50340605,126.9427877,426,368.47,0,상도동,114034,0,14,29,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7414.841650693397
다사532434,37.48911482,126.9711732,688,492.27,0,사당동,95821,4,6,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,15406.623289467456
다사514442,37.49623254,126.95076,747,254.89,0,상도동,114034,0,6,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,16058.203617879659
다사532422,37.47829885,126.9712494,365,703.56,0,사당동,95821,0,1,2,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13819.41392707212
다사479438,37.49243654,126.9111951,484,575.31,0,신대방동,45025,1,2,10,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14838.484078802252
다사534429,37.48461828,126.9734671,356,208.3,0,사당동,95821,5,15,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6360.614403115912
다사491447,37.50061531,126.924707,368,325.44,0,대방동,34112,1,10,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7571.901249788974
다사506443,37.49709144,126.9417034,255,839.69,0,상도동,114034,4,19,23,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5262.6452150328405
다사508454,37.50701668,126.9438923,535,492.59,0,노량진동,30270,3,14,32,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7321.474937987935
다사491448,37.50151664,126.9247001,468,369.26,0,대방동,34112,0,11,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7773.854138061632
다사524447,37.50079123,126.9620401,412,895.58,0,흑석동,30047,3,12,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12345.397837323957
다사492458,37.51053534,126.9257623,356,230.38,0,대방동,34112,2,11,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6986.775231397551
다사492444,37.49791685,126.925859,551,288.75,0,신대방동,45025,1,13,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8187.714899902716
다사514455,37.50794976,126.9506741,366,573.37,0,상도동,114034,5,14,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8631.16033374576
다사524449,37.50259388,126.9620271,486,728.53,0,흑석동,30047,3,11,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10351.383687582435
다사531432,37.48730709,126.9700548,318,305.7,0,사당동,95821,0,12,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10679.728829139185
다사523458,37.51070066,126.9608374,417,296.89,0,흑석동,30047,4,8,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,18631.416379733357
다사537433,37.48823867,126.9768352,260,483.14,0,사당동,95821,4,10,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12848.086452971935
다사494448,37.50153312,126.928094,397,202.24,0,대방동,34112,1,9,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9767.741441714155
다사521451,37.50438103,126.9586201,458,672.6,0,흑석동,30047,0,11,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12138.190248664352
다사482440,37.49425605,126.9145745,544,344.25,0,신대방동,45025,4,10,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8787.328109989945
다사508453,37.50611535,126.943899,455,452.55,0,상도동,114034,2,19,32,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5946.207245179524
다사534437,37.49182892,126.9734165,510,819.74,0,사당동,95821,2,7,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,16565.547068889693
다사503459,37.51149652,126.9382016,284,638.83,0,노량진동,30270,0,9,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10751.976053551085
다사533436,37.49092254,126.9722916,443,701.07,0,사당동,95821,2,10,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11261.168709240734
다사514448,37.50164049,126.9507204,416,275.87,0,상도1동,9802,1,7,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12642.427883235994
다사495444,37.4979333,126.9292528,315,218.34,0,신대방동,45025,7,15,26,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6393.124888025469
다사517444,37.49805092,126.9541406,510,204.03,0,상도동,114034,2,10,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13381.440722799673
다사511447,37.50072334,126.947333,467,236.14,0,상도동,114034,0,9,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11402.746466756216
다사492442,37.49611421,126.9258728,344,393.71,0,신대방동,45025,0,8,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12555.283661365998
다사510441,37.49531009,126.9462417,242,661.93,0,상도동,114034,0,7,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13148.932627114405
다사513442,37.49622728,126.9496287,387,354.69,0,상도동,114034,0,1,7,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14955.3899319346
다사512442,37.496222,126.9484975,338,454.49,0,상도동,114034,0,0,3,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14966.211695714475
다사481438,37.4924478,126.9134574,299,539.41,0,신대방동,45025,0,3,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14256.464969555303
