GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총승차인원
다사602492,37.54172023,127.0500396,618.0,519.88,0.0,성수동1가,27925,3,11,18,1,3,8.26,6.82,18.69,2909.9723490245956
다사566493,37.54245925,127.0092839,333.0,712.68,0.0,옥수동,25184,0,13,20,4,3,8.5,17.13,26.37,5407.446760846777
다사591507,37.55519207,127.0375047,506.0,550.9,0.0,행당동,41616,0,12,26,6,3,18.35,20.73,22.83,3286.7328441302034
다사609485,37.53544082,127.0580005,249.0,1036.94,0.0,성수동2가,23518,3,10,15,3,0,22.27,10.86,14.89,4302.838908514153
다사579522,37.56865797,127.0238329,377.0,640.79,0.0,상왕십리동,3685,2,10,16,0,15,10.57,10.91,14.73,2616.234696177293
다사621509,37.5571229,127.0714589,285.0,1416.97,0.0,송정동,9477,2,4,5,4,83,14.69,17.2,14.42,13971.800527783644
다사579501,37.54973011,127.0239534,391.0,616.23,0.0,금호동3가,11670,0,14,39,1,4,14.78,7.35,9.17,3664.111277307088
다사594499,37.54799469,127.0409454,267.0,577.34,0.0,성수동1가,27925,0,0,3,5,0,18.28,14.01,19.15,7473.7506340148375
다사587504,37.55247026,127.032993,391.0,619.55,0.0,응봉동,14593,7,26,43,5,29,12.69,16.75,15.83,19150.865716231994
다사602487,37.53721357,127.0500667,266.0,861.76,0.0,성수동1가,27925,2,4,9,2,78,10.35,2.29,16.88,10979.82484927241
다사603487,37.53721787,127.0511986,287.0,920.07,0.0,성수동2가,23518,2,5,13,4,0,12.4,10.03,18.32,5832.471651635768
다사584504,37.55245678,127.0295967,428.0,538.3,0.0,응봉동,14593,8,20,44,6,24,20.16,15.05,16.61,10880.61028942145
다사582502,37.55064508,127.0273439,382.0,747.33,0.0,금호동1가,14500,3,19,37,3,5,20.43,8.78,21.02,1816.3671201716527
다사606485,37.53542806,127.0546049,493.0,1030.18,0.0,성수동2가,23518,1,5,13,1,132,14.13,10.46,25.67,12036.088198481157
다사589520,37.56690044,127.0351676,251.0,578.54,0.0,마장동,21338,3,5,8,1,39,13.93,9.2,16.05,5143.605045914309
다사568493,37.54246864,127.0115478,300.0,515.46,0.0,옥수동,25184,11,22,29,7,114,13.18,5.99,17.05,23803.936814635344
다사601487,37.53720925,127.0489348,254.0,811.57,0.0,성수동1가,27925,2,2,9,2,5,13.42,9.29,17.17,1898.157180273491
다사619506,37.55441066,127.0692101,277.0,1378.99,0.0,송정동,9477,0,4,10,9,107,15.99,18.48,17.29,18062.289366730598
다사587522,37.56869416,127.0328917,400.0,585.33,0.0,하왕십리동,29847,0,6,12,21,0,25.02,13.09,13.42,34207.24434432011
다사579498,37.54702613,127.0239706,320.0,734.76,0.0,금호동4가,14021,3,20,27,3,43,14.43,11.16,26.62,3694.265626013015
다사608485,37.53543658,127.0568686,407.0,1025.02,0.0,성수동2가,23518,2,8,15,1,11,11.37,8.9,24.67,1899.684967510678
