,기준_날짜,행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시,행정동_명칭,자치구_명칭,시도_명칭
0,2025-05-14,11200730,61997.0,224.0,39.0,10.0,4.0,15.0,613.0,1696.0,4969.0,6422.0,3807.0,2627.0,2730.0,2688.0,2942.0,2801.0,3222.0,4056.0,4665.0,5524.0,3422.0,3065.0,2899.0,2423.0,1134.0,사당2동,동작구,서울
1,2025-05-14,11200720,72704.0,252.0,19.0,15.0,15.0,146.0,1406.0,2489.0,6630.0,8691.0,4518.0,3020.0,2565.0,3071.0,3086.0,2828.0,3019.0,3855.0,4977.0,6047.0,3809.0,3338.0,3723.0,3574.0,1611.0,노량진1동,동작구,서울
2,2025-05-14,11200710,37399.0,203.0,0.0,0.0,0.0,25.0,426.0,986.0,2838.0,3123.0,1910.0,1723.0,1604.0,1755.0,1905.0,2001.0,2210.0,2650.0,3432.0,2862.0,2092.0,1708.0,1681.0,1442.0,823.0,흑석동,동작구,서울
3,2025-05-14,11200700,23934.0,43.0,11.0,5.0,7.0,72.0,256.0,582.0,1709.0,1891.0,1422.0,1146.0,1147.0,1129.0,1002.0,1259.0,1738.0,1831.0,2328.0,2756.0,1213.0,868.0,707.0,574.0,238.0,신대방2동,동작구,서울
4,2025-05-14,11200690,7420.0,19.0,1.0,0.0,0.0,62.0,162.0,310.0,893.0,763.0,532.0,379.0,330.0,331.0,373.0,424.0,344.0,343.0,480.0,442.0,282.0,235.0,346.0,227.0,142.0,신대방1동,동작구,서울
5,2025-05-14,11200680,54736.0,115.0,0.0,2.0,0.0,51.0,903.0,2080.0,5837.0,7807.0,4362.0,2766.0,2413.0,2400.0,2384.0,2360.0,3154.0,2982.0,3523.0,3890.0,2194.0,1752.0,1681.0,1427.0,653.0,대방동,동작구,서울
6,2025-05-14,11200670,5042.0,0.0,10.0,2.0,2.0,12.0,79.0,268.0,744.0,776.0,414.0,259.0,247.0,208.0,192.0,182.0,351.0,320.0,257.0,288.0,162.0,97.0,83.0,62.0,27.0,사당5동,동작구,서울
7,2025-05-14,11200660,14473.0,26.0,1.0,1.0,1.0,4.0,272.0,687.0,1934.0,2719.0,1490.0,804.0,626.0,645.0,675.0,550.0,569.0,692.0,642.0,748.0,425.0,364.0,275.0,187.0,136.0,사당4동,동작구,서울
8,2025-05-14,11200650,7762.0,31.0,7.0,3.0,5.0,10.0,107.0,339.0,776.0,798.0,500.0,458.0,434.0,370.0,429.0,347.0,401.0,461.0,468.0,554.0,375.0,267.0,269.0,235.0,118.0,사당3동,동작구,서울
9,2025-05-14,11200630,10363.0,131.0,64.0,33.0,38.0,36.0,107.0,291.0,707.0,867.0,552.0,367.0,336.0,406.0,395.0,469.0,486.0,564.0,613.0,872.0,681.0,612.0,679.0,650.0,407.0,사당1동,동작구,서울
10,2025-05-14,11200560,8337.0,6.0,0.0,0.0,0.0,40.0,194.0,488.0,1166.0,1218.0,743.0,490.0,396.0,447.0,406.0,354.0,387.0,380.0,417.0,369.0,311.0,210.0,161.0,116.0,38.0,상도4동,동작구,서울
11,2025-05-14,11200550,9776.0,17.0,10.0,4.0,10.0,65.0,180.0,396.0,1087.0,1166.0,722.0,491.0,446.0,491.0,467.0,498.0,532.0,552.0,562.0,553.0,438.0,389.0,343.0,266.0,91.0,상도3동,동작구,서울
12,2025-05-14,11200540,24120.0,83.0,13.0,16.0,6.0,75.0,429.0,940.0,2486.0,3136.0,1929.0,1314.0,1119.0,1136.0,1166.0,1028.0,1162.0,1307.0,1700.0,1552.0,1061.0,853.0,731.0,568.0,310.0,상도2동,동작구,서울
13,2025-05-14,11200530,73540.0,324.0,18.0,16.0,15.0,110.0,867.0,2297.0,6320.0,7428.0,4556.0,3427.0,3168.0,3186.0,3478.0,3808.0,3822.0,5177.0,5666.0,5598.0,3870.0,3224.0,3205.0,2468.0,1492.0,상도1동,동작구,서울
14,2025-05-14,11200520,16402.0,128.0,51.0,44.0,34.0,84.0,165.0,342.0,810.0,1137.0,748.0,621.0,592.0,693.0,753.0,687.0,853.0,979.0,1319.0,1758.0,1239.0,929.0,950.0,1062.0,424.0,노량진2동,동작구,서울
15,2025-05-13,11200730,61249.0,193.0,24.0,8.0,11.0,17.0,624.0,1726.0,5037.0,6213.0,3796.0,2583.0,2499.0,2513.0,2812.0,2792.0,3289.0,4188.0,4764.0,5560.0,3413.0,2934.0,2763.0,2430.0,1060.0,사당2동,동작구,서울
16,2025-05-13,11200720,70392.0,224.0,26.0,16.0,6.0,128.0,1387.0,2426.0,6670.0,8509.0,4357.0,2846.0,2549.0,2788.0,3037.0,2722.0,2754.0,3527.0,4906.0,5792.0,3753.0,3320.0,3628.0,3596.0,1425.0,노량진1동,동작구,서울
17,2025-05-13,11200710,36294.0,173.0,0.0,0.0,0.0,20.0,421.0,958.0,2743.0,2817.0,1861.0,1751.0,1545.0,1657.0,1749.0,2000.0,2332.0,2562.0,3465.0,2786.0,1898.0,1670.0,1690.0,1373.0,823.0,흑석동,동작구,서울
18,2025-05-13,11200700,23891.0,55.0,8.0,10.0,11.0,81.0,239.0,609.0,1772.0,1941.0,1380.0,1116.0,1155.0,1064.0,1097.0,1151.0,1429.0,1736.0,2439.0,2789.0,1163.0,918.0,793.0,695.0,240.0,신대방2동,동작구,서울
19,2025-05-13,11200690,7131.0,12.0,0.0,1.0,0.0,63.0,167.0,318.0,913.0,858.0,567.0,407.0,318.0,359.0,290.0,315.0,319.0,390.0,515.0,414.0,291.0,189.0,173.0,149.0,103.0,신대방1동,동작구,서울
20,2025-05-13,11200680,53953.0,84.0,0.0,2.0,2.0,54.0,877.0,2046.0,5978.0,7676.0,4452.0,2637.0,2414.0,2414.0,2308.0,2274.0,2974.0,3214.0,3207.0,4048.0,2095.0,1772.0,1631.0,1234.0,560.0,대방동,동작구,서울
21,2025-05-13,11200670,4874.0,4.0,2.0,3.0,4.0,5.0,88.0,266.0,726.0,743.0,417.0,242.0,225.0,223.0,190.0,181.0,202.0,365.0,253.0,216.0,150.0,139.0,131.0,74.0,25.0,사당5동,동작구,서울
22,2025-05-13,11200660,14356.0,22.0,1.0,1.0,2.0,3.0,274.0,690.0,1963.0,2643.0,1486.0,818.0,663.0,589.0,586.0,587.0,557.0,669.0,627.0,698.0,345.0,424.0,380.0,222.0,106.0,사당4동,동작구,서울
23,2025-05-13,11200650,7579.0,14.0,9.0,2.0,4.0,13.0,103.0,347.0,775.0,857.0,558.0,398.0,479.0,323.0,358.0,335.0,336.0,459.0,466.0,515.0,376.0,274.0,281.0,229.0,68.0,사당3동,동작구,서울
24,2025-05-13,11200630,10088.0,124.0,74.0,27.0,45.0,42.0,122.0,264.0,686.0,864.0,558.0,330.0,318.0,429.0,380.0,437.0,471.0,558.0,648.0,785.0,687.0,613.0,609.0,614.0,403.0,사당1동,동작구,서울
25,2025-05-13,11200560,8225.0,7.0,0.0,0.0,0.0,33.0,213.0,489.0,1157.0,1256.0,753.0,524.0,370.0,439.0,378.0,320.0,328.0,443.0,394.0,378.0,257.0,195.0,151.0,107.0,33.0,상도4동,동작구,서울
26,2025-05-13,11200550,9611.0,21.0,9.0,4.0,4.0,59.0,161.0,413.0,1079.0,1186.0,751.0,513.0,448.0,437.0,421.0,416.0,525.0,569.0,536.0,558.0,487.0,391.0,299.0,238.0,86.0,상도3동,동작구,서울
27,2025-05-13,11200540,23938.0,86.0,14.0,8.0,5.0,66.0,422.0,965.0,2486.0,3112.0,1825.0,1358.0,1127.0,1162.0,1162.0,1052.0,1190.0,1324.0,1499.0,1628.0,1012.0,882.0,676.0,637.0,240.0,상도2동,동작구,서울
28,2025-05-13,11200530,73206.0,289.0,33.0,12.0,16.0,112.0,946.0,2301.0,6455.0,7563.0,4656.0,3242.0,3034.0,3131.0,3370.0,3724.0,3665.0,4780.0,6045.0,5471.0,3744.0,3251.0,3381.0,2535.0,1450.0,상도1동,동작구,서울
29,2025-05-13,11200520,16106.0,94.0,45.0,39.0,33.0,70.0,189.0,348.0,784.0,1091.0,707.0,637.0,610.0,721.0,711.0,745.0,904.0,997.0,1205.0,1694.0,1187.0,866.0,932.0,1045.0,452.0,노량진2동,동작구,서울
30,2025-05-12,11200730,60343.0,179.0,18.0,8.0,6.0,15.0,595.0,1714.0,5082.0,6031.0,3475.0,2494.0,2532.0,2707.0,2795.0,3066.0,3169.0,4041.0,4570.0,5571.0,3454.0,2927.0,2750.0,2236.0,908.0,사당2동,동작구,서울
31,2025-05-12,11200720,70036.0,229.0,25.0,12.0,11.0,122.0,1399.0,2452.0,6681.0,8503.0,4363.0,2870.0,2695.0,2800.0,3009.0,2721.0,2804.0,3406.0,4728.0,5785.0,3765.0,3219.0,3638.0,3406.0,1393.0,노량진1동,동작구,서울
32,2025-05-12,11200710,36020.0,170.0,0.0,0.0,0.0,22.0,412.0,979.0,2734.0,2850.0,1821.0,1657.0,1542.0,1697.0,1734.0,1838.0,2269.0,2678.0,3356.0,2978.0,1928.0,1648.0,1624.0,1439.0,644.0,흑석동,동작구,서울
33,2025-05-12,11200700,23463.0,49.0,14.0,9.0,8.0,56.0,249.0,590.0,1739.0,1835.0,1297.0,1114.0,1087.0,1139.0,1083.0,1306.0,1684.0,1409.0,2429.0,2806.0,1157.0,880.0,757.0,540.0,226.0,신대방2동,동작구,서울
34,2025-05-12,11200690,7078.0,16.0,0.0,0.0,0.0,55.0,177.0,275.0,866.0,818.0,490.0,357.0,339.0,337.0,289.0,305.0,370.0,387.0,488.0,417.0,320.0,211.0,250.0,176.0,135.0,신대방1동,동작구,서울
