GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m),격자 내 정류장수
다사602492,37.54172023,127.0500396,618.0,서울숲역,519.88,0.0
다사566493,37.54245925,127.0092839,333.0,옥수,712.68,0.0
다사591507,37.55519207,127.0375047,506.0,한양대,550.9,0.0
다사609485,37.53544082,127.0580005,249.0,성수,1036.94,0.0
다사579522,37.56865797,127.0238329,377.0,상왕십리,640.79,0.0
다사621509,37.5571229,127.0714589,285.0,신답,1416.97,0.0
다사579501,37.54973011,127.0239534,391.0,신금호,616.23,0.0
다사594499,37.54799469,127.0409454,267.0,뚝섬,577.34,0.0
다사587504,37.55247026,127.032993,391.0,행당,619.55,0.0
다사602487,37.53721357,127.0500667,266.0,서울숲역,861.76,0.0
다사603487,37.53721787,127.0511986,287.0,서울숲역,920.07,0.0
다사584504,37.55245678,127.0295967,428.0,행당,538.3,0.0
다사582502,37.55064508,127.0273439,382.0,신금호,747.33,0.0
다사606485,37.53542806,127.0546049,493.0,성수,1030.18,0.0
다사589520,37.56690044,127.0351676,251.0,왕십리,578.54,0.0
다사568493,37.54246864,127.0115478,300.0,옥수,515.46,0.0
다사601487,37.53720925,127.0489348,254.0,서울숲역,811.57,0.0
다사619506,37.55441066,127.0692101,277.0,신답,1378.99,0.0
다사587522,37.56869416,127.0328917,400.0,상왕십리,585.33,0.0
다사579498,37.54702613,127.0239706,320.0,금호,734.76,0.0
다사608485,37.53543658,127.0568686,407.0,성수,1025.02,0.0
다사587503,37.55156894,127.0329986,342.0,행당,708.36,0.0
다사579497,37.5461248,127.0239763,458.0,금호,760.49,0.0
다사613514,37.56159633,127.0623751,259.0,신답,531.44,0.0
다사608489,37.53904191,127.0568473,415.0,성수,625.8,0.0
다사579502,37.55063144,127.0239476,697.0,신금호,532.04,0.0
다사585502,37.55065863,127.0307401,430.0,행당,746.44,0.0
다사580513,37.5605506,127.0250168,549.0,행당,534.61,0.0
다사608486,37.53633791,127.0568633,213.0,성수,925.08,0.0
다사581497,37.5461339,127.0262403,270.0,옥수,932.27,0.0
다사578501,37.54972554,127.0228213,444.0,신금호,572.51,0.0
다사593499,37.54799029,127.0398133,216.0,서울숲역,643.39,0.0
다사617500,37.54899438,127.0669771,243.0,성수,1084.06,0.0
다사589504,37.5524792,127.0352572,362.0,행당,739.03,0.0
다사586501,37.54976179,127.0318778,342.0,행당,864.08,0.0
다사567492,37.54156262,127.0104217,249.0,옥수,606.79,0.0
다사618504,37.55260386,127.0680883,268.0,성수,1387.61,0.0
