GID,gid위도,gid경도,생활인구수,동 이름,gid 버스정류장명,gid버스정류장위도,gid버스정류장경도,NODE_ID
다사522440,37.49447162,126.9598229,201,상도동,숭실대별관앞,37.494639,126.960293,119000078
다사524456,37.50890316,126.9619818,271,흑석동,흑석역,37.509202,126.962302,119900286
다사508440,37.49439814,126.9439859,176,상도동,방범초소,37.494339,126.943628,119900240
다사508440,37.49439814,126.9439859,176,상도동,방범초소,37.494168,126.943742,119900017
다사537434,37.48914,126.9768289,237,사당동,시장입구,37.489472,126.977158,119900167
다사501449,37.50247251,126.9360064,154,상도동,동작경희병원,37.502853,126.936022,119900232
다사517442,37.49624827,126.9541537,0,상도동,숭실대입구역,37.496461,126.953734,119000073
다사525455,37.50800699,126.9631197,27,흑석동,흑석역.흑석동빗물펌프장,37.508297,126.963213,119000032
다사537435,37.49004133,126.9768226,437,사당동,신동아아파트,37.490007,126.976579,119900160
다사510452,37.50522466,126.9461684,132,상도동,대림아파트,37.505384,126.946642,119900110
다사510452,37.50522466,126.9461684,132,상도동,대림아파트,37.50518,126.946671,119900180
다사498446,37.49975229,126.9326329,102,상도동,성대시장,37.500081,126.932299,119900127
다사498446,37.49975229,126.9326329,102,상도동,현대한의원,37.500159,126.932562,119900007
다사487444,37.49788923,126.9202027,0,신대방동,보라매역.동작세무서,37.498141,126.920196,119000005
다사487444,37.49788923,126.9202027,0,신대방동,보라매역.동작세무서,37.497993,126.920229,119900279
다사504451,37.50429131,126.9393869,30,상도동,7호선장승배기역.상도2치안센터,37.504172,126.939136,119000104
다사504451,37.50429131,126.9393869,30,상도동,7호선장승배기역.상도2치안센터,37.50434,126.939326,119000105
다사532435,37.49001615,126.9711668,301,사당동,삼성래미안.롯데캐슬,37.489628,126.97115,119900082
다사532435,37.49001615,126.9711668,301,사당동,롯데캐슬,37.489823,126.971272,119900315
다사512448,37.50162995,126.9484577,162,상도1동,상도역,37.501627,126.948622,119000067
다사497461,37.51326667,126.9313991,264,대방동,현대아파트,37.513174,126.931437,119000007
다사516442,37.49624304,126.9530225,136,상도동,숭실대입구역,37.496167,126.953349,119000072
다사516442,37.49624304,126.9530225,136,상도동,숭실대입구역2번출구,37.496203,126.953556,119900253
다사513450,37.50343788,126.9495758,209,상도1동,상도터널상도동,37.503859,126.949519,119000066
다사527450,37.50351062,126.9654147,339,흑석동,푸르지오상가,37.503417,126.965036,119900294
다사491444,37.49791135,126.9247277,561,신대방동,동작우체국,37.49773,126.924507,119900095
다사487445,37.49879055,126.9201957,7,대방동,보라매역.동작세무서,37.498976,126.920261,118000013
다사540429,37.48464832,126.9802535,316,사당동,이수역9번출구,37.484445,126.979895,119000091
다사540429,37.48464832,126.9802535,316,사당동,이수역,37.484516,126.979985,119900022
다사540429,37.48464832,126.9802535,316,사당동,이수역10번출구,37.484833,126.980188,119000092
다사497447,37.50064818,126.9314948,106,상도동,성대시장,37.500285,126.931693,119000055
다사528428,37.48368651,126.9666871,0,사당동,사당솔밭도서관,37.484017,126.967056,119900312
다사528428,37.48368651,126.9666871,0,사당동,사당솔밭도서관,37.483427,126.967088,119900192
다사531430,37.48550443,126.9700675,203,사당동,사당문화복지관,37.485346,126.969576,119900006
다사542439,37.49367157,126.9824535,133,동작동,정금마을,37.493297,126.982748,121000530
다사515460,37.51246164,126.9517726,45,본동,본동시장,37.51224,126.951974,119900134
다사515460,37.51246164,126.9517726,45,본동,노들역5번출구,37.51229,126.952159,119900254
다사499441,37.49525111,126.9337982,354,상도동,청운종합복지관,37.495567,126.93344,119900041
다사516460,37.51246688,126.9529041,281,본동,노들역5번출구앞,37.512541,126.952533,119900208
다사516460,37.51246688,126.9529041,281,본동,노들역4번출구앞,37.512457,126.953359,119000294
