GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사495448,37.50153859,126.9292253,320,신대방삼거리,221.19
다사488442,37.49609213,126.9213478,120,보라매공원,293.66
다사527426,37.48187873,126.9655689,67,낙성대역,562.22
다사476431,37.48611034,126.9078514,179,신대방,504.38
다사501456,37.50878177,126.935959,106,장승배기,514.55
다사540421,37.47743767,126.9803034,111,사당,154.2
다사502444,37.49797129,126.9371716,202,장승배기,781.61
다사538426,37.48193436,126.9780102,208,이수,610.64
다사522440,37.49447162,126.9598229,201,숭실대입구,579.77
다사513449,37.50253655,126.9495824,289,상도,146.82
다사496449,37.50244537,126.9303498,296,신대방삼거리,356.94
다사476434,37.4888143,126.90783,495,신대방,501.4
다사533423,37.47920524,126.972374,157,남성,619.81
다사534420,37.47650629,126.973524,246,사당,715.41
다사536424,37.48012168,126.9757607,392,남성,652.96
다사524456,37.50890316,126.9619818,271,흑석,132.81
다사515446,37.4998431,126.9518649,319,숭실대입구,428.59
다사520457,37.50978379,126.9574496,68,노들,494.61
다사529426,37.48188895,126.9678309,81,남성,424.83
다사478434,37.48882562,126.9100923,248,신대방,315.72
다사508440,37.49439814,126.9439859,176,숭실대입구,877.23
다사512444,37.49802465,126.9484842,280,숭실대입구,496.18
다사511455,37.50793393,126.9472799,141,상도,575.02
다사534432,37.48732227,126.9734481,222,남성,358.37
다사537434,37.48914,126.9768289,237,이수,531.68
다사500449,37.50246711,126.9348751,114,장승배기,451.58
다사518459,37.51157602,126.9551736,341,노들,213.24
다사514440,37.49442989,126.9507732,633,숭실대입구,325.1
다사509453,37.50612067,126.9450304,99,상도,451.05
다사531421,37.47739246,126.9701248,394,낙성대역,592.78
다사520444,37.49806656,126.9575344,245,숭실대입구,397.41
다사518440,37.49445084,126.955298,187,숭실대입구,248.08
다사538424,37.48013169,126.9780227,488,사당,511.12
다사521444,37.49807175,126.9586656,512,숭실대입구,486.35
다사501449,37.50247251,126.9360064,154,장승배기,374.83
다사532453,37.50624006,126.9710524,294,흑석,737.37
다사502440,37.494366,126.9371986,175,당곡,965.66
다사503446,37.49977933,126.9382893,307,장승배기,567
다사520458,37.51068511,126.9574431,14,노들,435.11
다사502459,37.51149113,126.9370701,284,노량진,731.41
다사517443,37.4971496,126.9541471,53,숭실대입구,108.44
다사517442,37.49624827,126.9541537,0,숭실대입구,44.54
다사530452,37.50532858,126.968796,0,흑석,625.15
다사525435,37.48998044,126.9632488,145,남성,909.49
다사538428,37.48373702,126.9779976,26,이수,458.52
다사515461,37.51336296,126.951766,212,노들,147.48
다사501440,37.4943606,126.9360674,298,당곡,878.74
다사524437,37.49177796,126.9621047,534,숭실대입구,897.03
다사537422,37.47832403,126.9769043,420,사당,462.06
다사526452,37.50530815,126.9642705,104,흑석,421.26
다사521448,37.50167705,126.9586396,624,숭실대입구,746.27
다사526436,37.49088691,126.9643735,125,남성,910.05
다사525433,37.48817779,126.9632617,238,남성,793.64
다사491443,37.49701003,126.9247346,305,신대방삼거리,430.16
다사525455,37.50800699,126.9631197,27,흑석,119.54
다사519453,37.50617329,126.9563443,161,흑석,705.5
다사530431,37.48640069,126.9689301,354,남성,270.55
다사537435,37.49004133,126.9768226,437,총신대입구,590.88
다사479436,37.4906339,126.9112092,404,신대방,390.08
다사510452,37.50522466,126.9461684,132,상도,312.99
다사527433,37.48818804,126.9655239,126,남성,627.87
다사516445,37.49894702,126.9530027,258,숭실대입구,304.39
다사498446,37.49975229,126.9326329,102,신대방삼거리,389.49
다사531437,37.49181374,126.9700229,276,남성,798.11
다사499447,37.50065904,126.9337574,320,신대방삼거리,499.77
다사520459,37.51158644,126.9574365,0,노들,392.54
다사487444,37.49788923,126.9202027,0,보라매,225.51
다사539429,37.48464334,126.9791224,66,이수,317.42
다사492451,37.5042261,126.9258107,33,서울지방병무청,332.6
다사514458,37.51065373,126.9506543,185,노들,320.18
다사498459,37.51146947,126.9325442,60,대방,557.51
다사504458,37.51060057,126.9393398,263,노량진,601.98
다사537436,37.49094266,126.9768163,412,총신대입구,655.99
다사538434,37.48914501,126.97796,347,총신대입구,451.34
다사483440,37.49426165,126.9157057,658,보라매공원,258.31
다사540442,37.49636563,126.9801723,134,동작,800.76
다사504451,37.50429131,126.9393869,30,장승배기,69.35
다사527449,37.50260929,126.9654211,286,흑석,735.77
다사541432,37.48735729,126.9813659,11,총신대입구,91.12
다사482437,37.49155209,126.9145956,269,신대방,461.65
다사516447,37.50074967,126.9529896,429,상도,499.19
다사523444,37.49808209,126.9609282,0,숭실대입구,673.44
다사507460,37.51241928,126.9427207,172,노량진,242.44
다사532435,37.49001615,126.9711668,301,남성,592.49
다사492452,37.50512742,126.9258038,31,서울지방병무청,292.57
다사538441,37.49545432,126.9779161,111,동작,923.76
다사521441,37.49536777,126.9586852,12,숭실대입구,455.2
다사512448,37.50162995,126.9484577,162,상도,136.57
다사513462,37.51425376,126.9494964,121,노들,370.63
다사539428,37.48374201,126.9791287,253,이수,389.8
다사530423,37.47919004,126.9689811,29,낙성대역,542.35
다사538431,37.48644101,126.9779788,308,이수,341.98
다사534436,37.49092759,126.9734228,438,남성,723.25
다사503463,37.5151018,126.9381745,9,노량진,603.48
다사540434,37.48915498,126.9802223,276,총신대입구,307.9
다사535421,37.47741266,126.9746486,400,사당,623.82
다사526430,37.48547893,126.9644121,40,남성,597.32
다사489445,37.49880163,126.9224582,651,보라매,241.23
다사540433,37.48825365,126.9802285,124,총신대입구,231.94
다사488450,37.5033027,126.9212922,0,서울지방병무청,298.78
다사516449,37.50255232,126.9529764,422,상도,444.27
다사533424,37.48010657,126.9723677,336,남성,521.42
다사531422,37.47829379,126.9701184,258,낙성대역,605.67
다사507450,37.50340605,126.9427877,426,장승배기,368.47
다사532434,37.48911482,126.9711732,688,남성,492.27
다사497461,37.51326667,126.9313991,264,샛강,446.57
다사516442,37.49624304,126.9530225,136,숭실대입구,55.3
다사512460,37.51244583,126.9483781,83,노량진,348.88
다사514442,37.49623254,126.95076,747,숭실대입구,254.89
다사532422,37.47829885,126.9712494,365,낙성대역,703.56
다사479438,37.49243654,126.9111951,484,신대방,575.31
다사515452,37.50525105,126.9518253,220,상도,437.96
다사513450,37.50343788,126.9495758,209,상도,160.57
다사495440,37.49432801,126.9292802,40,당곡,478.07
