GID,위도,경도,생활인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수
다사495448,37.50153859,126.9292253,320,1,8,20
다사488442,37.49609213,126.9213478,120,0,8,14
다사527426,37.48187873,126.9655689,67,3,6,9
다사476431,37.48611034,126.9078514,179,1,12,17
다사501456,37.50878177,126.935959,106,0,0,12
다사540421,37.47743767,126.9803034,111,1,14,19
다사502444,37.49797129,126.9371716,202,0,10,19
다사538426,37.48193436,126.9780102,208,0,8,15
다사522440,37.49447162,126.9598229,201,4,7,10
다사513449,37.50253655,126.9495824,289,4,11,21
다사496449,37.50244537,126.9303498,296,0,5,14
다사476434,37.4888143,126.90783,495,4,11,14
다사533423,37.47920524,126.972374,157,0,0,2
다사534420,37.47650629,126.973524,246,2,2,4
다사536424,37.48012168,126.9757607,392,0,0,2
다사524456,37.50890316,126.9619818,271,5,11,20
다사515446,37.4998431,126.9518649,319,3,9,12
다사520457,37.50978379,126.9574496,68,0,1,21
다사529426,37.48188895,126.9678309,81,3,5,7
다사478434,37.48882562,126.9100923,248,0,10,16
다사508440,37.49439814,126.9439859,176,5,17,23
다사512444,37.49802465,126.9484842,280,0,2,4
다사511455,37.50793393,126.9472799,141,8,11,27
다사534432,37.48732227,126.9734481,222,5,12,23
다사537434,37.48914,126.9768289,237,4,9,16
다사500449,37.50246711,126.9348751,114,4,9,19
다사518459,37.51157602,126.9551736,341,3,13,23
다사514440,37.49442989,126.9507732,633,0,1,8
다사509453,37.50612067,126.9450304,99,2,21,30
다사531421,37.47739246,126.9701248,394,0,1,4
다사520444,37.49806656,126.9575344,245,0,3,14
다사518440,37.49445084,126.955298,187,0,7,12
다사538424,37.48013169,126.9780227,488,0,0,6
다사521444,37.49807175,126.9586656,512,2,4,12
다사501449,37.50247251,126.9360064,154,4,11,21
다사532453,37.50624006,126.9710524,294,2,6,6
다사502440,37.494366,126.9371986,175,6,19,28
다사503446,37.49977933,126.9382893,307,0,6,13
다사520458,37.51068511,126.9574431,14,0,2,13
다사502459,37.51149113,126.9370701,284,0,9,11
다사517443,37.4971496,126.9541471,53,5,8,12
다사517442,37.49624827,126.9541537,0,4,8,11
다사530452,37.50532858,126.968796,0,2,5,10
다사525435,37.48998044,126.9632488,145,3,11,12
다사538428,37.48373702,126.9779976,26,6,12,19
다사515461,37.51336296,126.951766,212,7,14,20
다사501440,37.4943606,126.9360674,298,5,22,27
다사524437,37.49177796,126.9621047,534,1,4,11
다사537422,37.47832403,126.9769043,420,0,2,3
다사526452,37.50530815,126.9642705,104,1,11,17
다사521448,37.50167705,126.9586396,624,0,9,10
다사526436,37.49088691,126.9643735,125,1,9,12
다사525433,37.48817779,126.9632617,238,6,13,16
다사491443,37.49701003,126.9247346,305,2,6,18
다사525455,37.50800699,126.9631197,27,2,15,18
다사519453,37.50617329,126.9563443,161,3,9,13
다사530431,37.48640069,126.9689301,354,5,12,20
다사537435,37.49004133,126.9768226,437,3,8,11
다사479436,37.4906339,126.9112092,404,0,2,8
다사510452,37.50522466,126.9461684,132,7,17,38
다사527433,37.48818804,126.9655239,126,6,14,19
다사516445,37.49894702,126.9530027,258,5,10,13
다사498446,37.49975229,126.9326329,102,5,13,22
다사531437,37.49181374,126.9700229,276,2,5,8
다사499447,37.50065904,126.9337574,320,6,11,17
다사520459,37.51158644,126.9574365,0,0,6,15
다사487444,37.49788923,126.9202027,0,7,13,24
다사539429,37.48464334,126.9791224,66,7,13,18
다사492451,37.5042261,126.9258107,33,2,9,16
다사514458,37.51065373,126.9506543,185,4,15,24
다사498459,37.51146947,126.9325442,60,4,10,13
다사504458,37.51060057,126.9393398,263,2,5,13
다사537436,37.49094266,126.9768163,412,2,7,9
다사538434,37.48914501,126.97796,347,1,6,11
다사483440,37.49426165,126.9157057,658,4,11,17
다사540442,37.49636563,126.9801723,134,0,5,9
다사504451,37.50429131,126.9393869,30,7,17,24
다사527449,37.50260929,126.9654211,286,2,4,5
다사541432,37.48735729,126.9813659,11,5,8,17
다사482437,37.49155209,126.9145956,269,0,2,6
다사516447,37.50074967,126.9529896,429,4,10,12
다사523444,37.49808209,126.9609282,0,1,7,13
다사507460,37.51241928,126.9427207,172,4,10,17
다사532435,37.49001615,126.9711668,301,4,7,10
다사492452,37.50512742,126.9258038,31,3,8,20
다사538441,37.49545432,126.9779161,111,0,1,3
다사521441,37.49536777,126.9586852,12,3,7,9
다사512448,37.50162995,126.9484577,162,3,12,20
다사513462,37.51425376,126.9494964,121,0,7,13
다사539428,37.48374201,126.9791287,253,5,13,16
다사530423,37.47919004,126.9689811,29,0,0,2
다사538431,37.48644101,126.9779788,308,0,16,24
다사534436,37.49092759,126.9734228,438,3,11,16
다사503463,37.5151018,126.9381745,9,0,4,10
다사540434,37.48915498,126.9802223,276,0,7,13
다사535421,37.47741266,126.9746486,400,0,4,4
다사526430,37.48547893,126.9644121,40,1,8,20
다사489445,37.49880163,126.9224582,651,4,14,19
다사540433,37.48825365,126.9802285,124,0,6,15
다사488450,37.5033027,126.9212922,0,5,13,18
다사516449,37.50255232,126.9529764,422,2,8,17
다사533424,37.48010657,126.9723677,336,0,0,1
다사531422,37.47829379,126.9701184,258,0,0,1
다사507450,37.50340605,126.9427877,426,0,14,29
다사532434,37.48911482,126.9711732,688,4,6,16
다사497461,37.51326667,126.9313991,264,4,8,15
다사516442,37.49624304,126.9530225,136,4,7,11
다사512460,37.51244583,126.9483781,83,2,7,18
다사514442,37.49623254,126.95076,747,0,6,8
다사532422,37.47829885,126.9712494,365,0,1,2
다사479438,37.49243654,126.9111951,484,1,2,10
다사515452,37.50525105,126.9518253,220,1,13,21
