대중교통,역(정류장),호선(명),노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),x_좌표,y_좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
지하철,사당,2,,Y,N,N,126.981631,37.476536,사당동,11590107,,,,,,35215.63,35778.58,70994.22,2112938,2146715,4259653
지하철,신대방,2,,Y,N,N,126.913279,37.487534,신대방동,11590109,,,,,,25918.67,24996.4,50915.07,777560,749892,1527452
지하철,동작(현충원),4,,Y,N,N,126.980171,37.503567,동작동,11590106,,,,,,2298.62,2223.5,4522.12,137917,133410,271327
지하철,이수,4,,Y,N,N,126.982199,37.486873,사당동,11590107,,,,,,17276.73,16687.73,33964.47,518302,500632,1018934
지하철,사당,4,,Y,N,N,126.981746,37.476563,사당동,11590107,,,,,,35215.63,35778.58,70994.22,2112938,2146715,4259653
지하철,남성,7,,Y,N,N,126.971108,37.484688,사당동,11590107,,,,,,11554.33,11108.57,22662.9,346630,333257,679887
지하철,숭실대입구(살피재),7,,Y,N,N,126.953649,37.496258,상도동,11590102,,,,,,15863.7,15867.83,31731.53,475911,476035,951946
지하철,상도,7,,Y,N,N,126.947949,37.50279,상도1동,11590103,,,,,,12936.5,12804.17,25740.67,388095,384125,772220
지하철,장승배기,7,,Y,N,N,126.939025,37.504845,상도동,11590102,,,,,,9396.6,9128.47,18525.07,281898,273854,555752
지하철,신대방삼거리,7,,Y,N,N,126.928218,37.499717,대방동,11590108,,,,,,15346.33,14704.07,30050.4,460390,441122,901512
지하철,보라매,7,,Y,N,N,126.920112,37.499916,대방동,11590108,,,,,,5754.68,5687.32,11442,345281,341239,686520
지하철,이수,7,,Y,N,N,126.981854,37.486501,사당동,11590107,,,,,,17276.73,16687.73,33964.47,518302,500632,1018934
지하철,서울지방병무청,신림,,Y,N,N,126.922592,37.505784,신길동(영등포구),11560132,,,,,,3234.83,3492.73,6727.57,97045,104782,201827
지하철,보라매공원,신림,,Y,N,N,126.91807,37.495632,신대방동,11590109,,,,,,2458.13,2696.37,5154.5,73744,80891,154635
지하철,보라매병원,신림,,Y,N,N,126.92378,37.492987,신대방동,11590109,,,,,,7703.03,8001.73,15704.77,231091,240052,471143
지하철,노량진,9,,Y,N,N,126.944824,37.513823,노량진동,11590101,,,,,,18160.65,18042.85,36203.5,1089639,1082571,2172210
지하철,노들,9,,Y,N,N,126.953212,37.512697,본동,11590104,,,,,,5557.53,4768.53,10326.07,166726,143056,309782
지하철,흑석(중앙대입구),9,,Y,N,N,126.963477,37.509044,흑석동,11590105,,,,,,10420.9,10630.6,21051.5,312627,318918,631545
지하철,구반포,9,,Y,N,N,126.987426,37.501436,반포동(서초구),11650107,,,,,,1871.77,1730.03,3601.8,56153,51901,108054
지하철,샛강,9,,Y,N,N,126.92891,37.516764,여의도동(영등포구),11560110,,,,,,4804.98,5066.58,9871.57,288299,303995,592294
지하철,대방,1,,Y,N,N,126.926372,37.51255,대방동,11590108,,,,,,6888.1,7182.42,14070.52,413286,430945,844231
지하철,구로디지털단지,2,,Y,N,N,126.901432,37.484422,구로동(구로구),11530102,,,,,,57241.73,56637.77,113879.5,1717252,1699133,3416385
지하철,당곡,신림,,Y,N,N,126.92756,37.490251,봉천동(관악구),11620101,,,,,,5003,4780.43,9783.43,150090,143413,293503
지하철,낙성대(강감찬),2,,Y,N,N,126.963416,37.47712,봉천동(관악구),11620101,,,,,,28598.17,27756.3,56354.47,857945,832689,1690634
버스,동작상떼빌아파트,,17,N,Y,N,126.904448,37.486449,신대방동,11590109,,119000001,20001,서울 동작구 신대방동 699-4,,81.15,83.93,165.08,35627,36845,72472
버스,동작상떼빌아파트,,1,N,Y,N,126.9071028,37.48825374,신대방동,11590109,,119000116,20209,서울 동작구 신대방동 686-74,서울특별시 동작구 대림로 57 (신대방동),81.33,62.5,143.83,2440,1875,4315
버스,신대방경남아파트,,2,N,Y,N,126.907227,37.48842865,신대방동,11590109,,119000117,20210,서울 동작구 신대방동 700,,45.27,67.37,112.63,2716,1875,6758
버스,신대방1동경남아파트,,1,N,Y,N,126.907561,37.48993195,신대방동,11590109,,118900115,20911,서울 동작구 신대방동 607-7,서울특별시 동작구 시흥대로 650-2 (신대방동),28.63,84.5,113.13,859,1875,3394
버스,성원샹떼빌앞,,1,N,Y,N,126.9080421,37.4877057,신대방동,11590109,,119900021,20579,서울 동작구 신대방동 719,"서울특별시 동작구 신대방1가길 38 (신대방동, 동작상떼빌아파트)",52.4,27,79.4,1572,1875,2382
버스,신대방1동주민센터,,1,N,Y,N,126.9095786,37.48704097,신대방동,11590109,,119900012,20589,서울 동작구 신대방동 694-13,서울특별시 동작구 대림로 31 (신대방동),5.07,27.57,32.63,152,1875,979
버스,신대방1동주민센터,,1,N,Y,N,126.9097457,37.48721231,신대방동,11590109,,119900271,20923,서울 동작구 신대방동 700-2,,10.7,35.67,46.37,321,1875,1391
버스,신대방우성아파트앞,,1,N,Y,N,126.9103818,37.493343,신대방동,11590109,,119900237,20927,서울 동작구 신대방동 565-21,"서울특별시 동작구 여의대방로 8 (신대방동, 신대방2차우성아파트)",27.6,150.33,177.93,828,1875,5338
