GID,위도,경도,생활인구수
다사495448,37.50153859,126.9292253,320
다사488442,37.49609213,126.9213478,120
다사527426,37.48187873,126.9655689,67
다사476431,37.48611034,126.9078514,179
다사501456,37.50878177,126.935959,106
다사540421,37.47743767,126.9803034,111
다사502444,37.49797129,126.9371716,202
다사538426,37.48193436,126.9780102,208
다사522440,37.49447162,126.9598229,201
다사513449,37.50253655,126.9495824,289
다사496449,37.50244537,126.9303498,296
다사476434,37.4888143,126.90783,495
다사533423,37.47920524,126.972374,157
다사534420,37.47650629,126.973524,246
다사536424,37.48012168,126.9757607,392
다사524456,37.50890316,126.9619818,271
다사515446,37.4998431,126.9518649,319
다사520457,37.50978379,126.9574496,68
다사529426,37.48188895,126.9678309,81
다사478434,37.48882562,126.9100923,248
다사508440,37.49439814,126.9439859,176
다사512444,37.49802465,126.9484842,280
다사511455,37.50793393,126.9472799,141
다사534432,37.48732227,126.9734481,222
다사537434,37.48914,126.9768289,237
다사500449,37.50246711,126.9348751,114
다사518459,37.51157602,126.9551736,341
다사514440,37.49442989,126.9507732,633
다사509453,37.50612067,126.9450304,99
다사531421,37.47739246,126.9701248,394
다사520444,37.49806656,126.9575344,245
다사518440,37.49445084,126.955298,187
다사538424,37.48013169,126.9780227,488
다사521444,37.49807175,126.9586656,512
다사501449,37.50247251,126.9360064,154
다사532453,37.50624006,126.9710524,294
다사502440,37.494366,126.9371986,175
다사503446,37.49977933,126.9382893,307
다사520458,37.51068511,126.9574431,14
다사502459,37.51149113,126.9370701,284
다사517443,37.4971496,126.9541471,53
다사517442,37.49624827,126.9541537,0
다사530452,37.50532858,126.968796,0
다사525435,37.48998044,126.9632488,145
다사538428,37.48373702,126.9779976,26
다사515461,37.51336296,126.951766,212
다사501440,37.4943606,126.9360674,298
다사524437,37.49177796,126.9621047,534
다사537422,37.47832403,126.9769043,420
다사526452,37.50530815,126.9642705,104
다사521448,37.50167705,126.9586396,624
다사526436,37.49088691,126.9643735,125
다사525433,37.48817779,126.9632617,238
다사491443,37.49701003,126.9247346,305
다사525455,37.50800699,126.9631197,27
다사519453,37.50617329,126.9563443,161
다사530431,37.48640069,126.9689301,354
다사537435,37.49004133,126.9768226,437
다사479436,37.4906339,126.9112092,404
다사510452,37.50522466,126.9461684,132
다사527433,37.48818804,126.9655239,126
다사516445,37.49894702,126.9530027,258
다사498446,37.49975229,126.9326329,102
다사531437,37.49181374,126.9700229,276
다사499447,37.50065904,126.9337574,320
다사520459,37.51158644,126.9574365,0
다사487444,37.49788923,126.9202027,0
다사539429,37.48464334,126.9791224,66
다사492451,37.5042261,126.9258107,33
다사514458,37.51065373,126.9506543,185
다사498459,37.51146947,126.9325442,60
다사504458,37.51060057,126.9393398,263
다사537436,37.49094266,126.9768163,412
다사538434,37.48914501,126.97796,347
다사483440,37.49426165,126.9157057,658
다사540442,37.49636563,126.9801723,134
다사504451,37.50429131,126.9393869,30
다사527449,37.50260929,126.9654211,286
다사541432,37.48735729,126.9813659,11
다사482437,37.49155209,126.9145956,269
다사516447,37.50074967,126.9529896,429
다사523444,37.49808209,126.9609282,0
다사507460,37.51241928,126.9427207,172
다사532435,37.49001615,126.9711668,301
다사492452,37.50512742,126.9258038,31
다사538441,37.49545432,126.9779161,111
다사521441,37.49536777,126.9586852,12
