GID,gid위도,gid경도,생활인구수,동 이름,gid 버스정류장명,gid버스정류장위도,gid버스정류장경도,NODE_ID
다사594513,37.5606133,127.040868,225,행당동,한양대부속고등학교,37.56038812,127.0411546,103000027
다사588504,37.55247474,127.0341251,321,응봉동,응봉역.광희중,37.55220114,127.0344034,103900016
다사582518,37.56506632,127.0272528,360,하왕십리동,뉴타운아파트,37.564877,127.026968,103000509
다사572499,37.54789524,127.0160406,19,금호동4가,금호역,37.547728,127.016267,103000056
다사573496,37.54519589,127.0171901,146,옥수동,미타사입구,37.54485562,127.0168373,103000064
다사589503,37.55157787,127.0352628,29,응봉동,광희중학교.응봉역,37.55191103,127.0350585,103900175
다사589503,37.55157787,127.0352628,29,응봉동,응봉역.광희중학교,37.551878,127.035298,103900272
다사598521,37.56784146,127.0453531,89,마장동,마장2교사거리,37.567977,127.045459,103900203
다사598521,37.56784146,127.0453531,89,마장동,마장2교사거리,37.56818275,127.0456033,103900204
다사597493,37.54259986,127.0443744,92,성수동1가,서울숲역2번출구,37.54293173,127.0447086,103000078
다사589507,37.55518318,127.0352404,538,행당동,한신아파트정문,37.55483475,127.0353825,103900173
다사594511,37.55881065,127.040879,65,행당동,한양대앞,37.558525,127.040647,103000029
다사594511,37.55881065,127.040879,65,행당동,한양대앞.한양시장,37.5585824,127.0409668,103000028
다사597520,37.56693576,127.0442262,11,마장동,마장동주민센터,37.567063,127.04464,105000455
다사601497,37.54622257,127.0488805,7,성수동1가,뚝섬역5번출구,37.546482,127.049272,103000136
다사590516,37.56329959,127.0363223,107,도선동,성동구청,37.563127,127.035915,103000014
다사590516,37.56329959,127.0363223,107,행당동,성동구청,37.563354,127.036042,103900115
다사590520,37.5669049,127.0363,54,마장동,도선동사거리,37.56676758,127.0365327,103900098
다사590520,37.5669049,127.0363,54,마장동,도선사거리,37.566648,127.036487,103000023
다사615499,37.54808472,127.0647182,31,송정동,성동세무서,37.54823913,127.0643373,103000114
다사575499,37.54790911,127.0194367,248,금호동3가,화단삼거리,37.54821898,127.0196278,103900141
다사578494,37.54341624,127.0228615,127,금호동4가,서울숲푸르지오아파트후문,37.543544,127.022805,103900062
다사580503,37.55153733,127.025074,182,금호동2가,래미안하이리버아파트,37.55145821,127.0254234,103000051
다사579505,37.55333542,127.0239304,191,금호동1가,금호고등학교,37.553096,127.023552,103900056
다사590513,37.5605956,127.0363391,115,행당동,왕십리역,37.56033656,127.0362669,103000035
다사591511,37.55879739,127.0374824,73,행당동,서울숲삼부아파트,37.55872308,127.0379493,103000038
다사571497,37.54608794,127.0149203,487,옥수동,래미안옥수리버젠.옥수중앙교회,37.54591558,127.0148446,103000065
다사571497,37.54608794,127.0149203,487,옥수동,래미안옥수리버젠.옥수중앙교회,37.545782,127.014698,103000066
다사601493,37.54261724,127.0489022,125,성수동1가,경일중고등학교,37.542316,127.049131,103900251
다사601493,37.54261724,127.0489022,125,성수동1가,경일중고등학교,37.542503,127.04921,103900262
다사579524,37.57046062,127.0238215,133,상왕십리동,황학교.텐즈힐몰,37.57005175,127.0236037,103000191
다사608490,37.53994325,127.0568419,80,성수동2가,경수중학교,37.53969986,127.0572982,
다사613493,37.54266835,127.0624857,0,성수동2가,성수사거리,37.542562,127.062352,103900213
다사613493,37.54266835,127.0624857,0,성수동2가,성수사거리,37.542795,127.062362,103900214
다사569493,37.54247331,127.0126797,350,옥수동,국민은행,37.54269716,127.0122219,103900190
다사569493,37.54247331,127.0126797,350,옥수동,국민은행,37.5427782,127.0127561,103900191
다사585522,37.56868517,127.030627,536,하왕십리동,청계벽산아파트.텐즈힐아파트,37.568863,127.030377,103000008
다사588507,37.55517872,127.0341083,159,행당동,응봉사거리,37.55529188,127.034458,103000041
다사588507,37.55517872,127.0341083,159,행당동,응봉사거리,37.5553019,127.0340902,103000280
다사588507,37.55517872,127.0341083,159,행당동,응봉사거리,37.55508011,127.0344919,103000281
다사588507,37.55517872,127.0341083,159,행당동,행당서울숲푸르지오상가앞,37.55557299,127.0340187,103900119
다사584505,37.55335811,127.029591,326,응봉동,대현산체육관입구,37.55296294,127.0297135,103900107
다사584505,37.55335811,127.029591,326,응봉동,대현산체육관입구,37.55308,127.029853,103900122
다사607490,37.53993899,127.05571,13,성수동2가,한라시그마밸리,37.53990607,127.0551786,103900235
다사607490,37.53993899,127.05571,13,성수동2가,한라시그마밸리앞,37.539647,127.05532,103900256
다사591520,37.56690934,127.0374323,82,마장동,도선사거리,37.567023,127.036955,103000022
다사571494,37.54338396,127.0149378,254,옥수동,옥수삼성아파트.래미안옥수리버젠,37.54362049,127.0148476,103000062
다사583504,37.55245227,127.0284646,147,금호동1가,금봉어린이집.또또와마트,37.55264238,127.0287944,103900060
다사583523,37.56957747,127.0283566,199,하왕십리동,텐즈힐아파트107동앞,37.56956858,127.0285145,103900210
다사617501,37.54989571,127.0669719,249,송정동,GS25,37.55030467,127.0671618,103900057
다사569494,37.54337464,127.0126739,333,옥수동,극동아파트7동,37.54372076,127.0126657,103900008
다사569494,37.54337464,127.0126739,333,옥수동,극동아파트7동,37.54361893,127.012754,103900090
다사597492,37.54169853,127.0443799,141,성수동1가,뚝도아리수정수센터수도박물관,37.541407,127.04399,103000077
다사579496,37.54522347,127.023982,278,금호동4가,서울숲푸르지오아파트,37.545015,127.023747,103900219
다사579496,37.54522347,127.023982,278,금호동4가,서울숲푸르지오아파트정문,37.54525619,127.0243938,103900110
다사588510,37.55788271,127.0340914,39,행당동,무학여고,37.55789531,127.0338673,103000033
다사588510,37.55788271,127.0340914,39,행당동,무학여고,37.558122,127.033877,103000278
다사588510,37.55788271,127.0340914,39,행당동,무학여고,37.5581,127.034245,103000279
다사588510,37.55788271,127.0340914,39,행당동,무학여고,37.55749161,127.0339124,103900065
다사588510,37.55788271,127.0340914,39,행당동,무학여고,37.55771859,127.0342554,103900088
다사588510,37.55788271,127.0340914,39,행당동,무학여고앞,37.557855,127.034232,103000032
다사609486,37.53634215,127.0579951,175,성수동2가,제민약국,37.536507,127.058488,103000188
다사580498,37.54703069,127.0251026,133,금호동4가,GS주유소,37.54681133,127.0251254,103900147
다사580498,37.54703069,127.0251026,133,금호동4가,힐스테이트서울숲리버,37.54674459,127.0253856,103900145
다사579511,37.55874338,127.023896,240,하왕십리동,극동.풍림아파트,37.55904489,127.023641,103900111
다사579511,37.55874338,127.023896,240,하왕십리동,풍림아파트,37.559145,127.023905,103000173
다사575504,37.55241575,127.0194078,92,금호동2가,금호초등학교,37.55268843,127.0194943,103900163
다사575504,37.55241575,127.0194078,92,금호동2가,중앙병원앞,37.55212796,127.0194715,103900097
다사592516,37.56330846,127.0385868,142,마장동,민자역사후문,37.56358,127.038505,103900172
다사592516,37.56330846,127.0385868,142,마장동,민자역사후문,37.563549,127.038365,103900187
다사582503,37.55154641,127.0273382,719,금호동1가,벽산아파트107동,37.55168754,127.0274313,103900179
다사582503,37.55154641,127.0273382,719,금호동1가,벽산아파트202동앞,37.551491,127.027356,103900159
