GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사599515,37.56243784,127.0465182,144,용답,383.32
다사608499,37.54805524,127.0567939,259,성수,387.74
다사602492,37.54172023,127.0500396,618,서울숲역,519.88
다사600495,37.54441558,127.0477594,49,서울숲역,282.63
다사607494,37.54354433,127.0556886,68,성수,123.26
다사614495,37.54447521,127.0636072,9,성수,672.4
다사592521,37.5678151,127.038559,10,마장,430.85
다사622510,37.55802833,127.0725859,152,신답,1481.59
다사581519,37.5659631,127.0261148,172,상왕십리,292.2
다사608506,37.55436457,127.0567566,8,신답,790.91
다사566493,37.54245925,127.0092839,333,옥수,712.68
다사594513,37.5606133,127.040868,225,왕십리,351.67
다사591507,37.55519207,127.0375047,506,한양대,550.9
다사572492,37.54158595,127.0160814,9,옥수,107.96
다사596499,37.54800347,127.0432095,139,뚝섬,381.73
다사575492,37.54159982,127.0194772,255,옥수,191.79
다사600503,37.55162623,127.0477158,12,뚝섬,495.12
다사588504,37.55247474,127.0341251,321,행당,674.57
다사596518,37.56512873,127.0431049,127,마장,105.47
다사607493,37.54264299,127.055694,56,성수,222.19
다사618512,37.55981452,127.0680467,112,신답,1047.49
다사582518,37.56506632,127.0272528,360,상왕십리,155.81
다사576500,37.54881504,127.020563,376,금호,425.58
다사600516,37.56334351,127.047645,202,용답,311.07
다사594498,37.54709336,127.0409509,113,서울숲역,502.24
다사615501,37.54988739,127.0647077,80,성수,966.25
다사609485,37.53544082,127.0580005,249,성수,1036.94
다사579522,37.56865797,127.0238329,377,상왕십리,640.79
다사572499,37.54789524,127.0160406,19,금호,47.28
다사621509,37.5571229,127.0714589,285,신답,1416.97
다사573496,37.54519589,127.0171901,146,금호,363.47
다사609490,37.53994749,127.0579739,0,성수,549.25
다사579501,37.54973011,127.0239534,391,신금호,616.23
다사574492,37.54159521,127.0183453,119,옥수,92.12
다사589503,37.55157787,127.0352628,29,행당,814.92
다사594499,37.54799469,127.0409454,267,뚝섬,577.34
다사618506,37.55440652,127.0680779,29,신답,1298.46
다사583510,37.55786023,127.0284305,392,행당,111.86
다사569496,37.54517729,127.0126621,453,금호,440.44
다사591516,37.56330403,127.0374546,264,왕십리,149.29
다사590510,37.55789162,127.0363558,61,왕십리,370.98
다사598521,37.56784146,127.0453531,89,마장,291.42
다사614513,37.56069919,127.0635126,29,신답,637.31
다사608487,37.53723925,127.0568579,186,성수,825.2
다사597493,37.54259986,127.0443744,92,서울숲역,123.81
다사587504,37.55247026,127.032993,391,행당,619.55
다사605514,37.56156241,127.0533171,323,용답,227.66
다사600515,37.56244218,127.0476504,174,용답,283.95
다사589507,37.55518318,127.0352404,538,행당,559.38
다사594511,37.55881065,127.040879,65,한양대,339.21
다사604515,37.56245945,127.0521795,253,용답,120.78
다사593498,37.54708896,127.0398189,88,서울숲역,572.38
다사597520,37.56693576,127.0442262,11,마장,150.29
다사601497,37.54622257,127.0488805,7,뚝섬,167.55
다사601486,37.53630791,127.0489402,12,서울숲역,901.88
다사602495,37.54442423,127.0500234,113,뚝섬,383.23
다사598520,37.56694013,127.0453585,162,마장,235.8
다사602487,37.53721357,127.0500667,266,서울숲역,861.76
다사603487,37.53721787,127.0511986,287,서울숲역,920.07
다사610491,37.54085305,127.0591005,8,성수,501.74
다사578512,37.55964014,127.0227581,150,신금호,607.67
다사581499,37.54793656,127.0262289,31,신금호,892.78
다사593509,37.55700358,127.0397579,438,한양대,333.56
다사589523,37.56960442,127.0351508,146,마장,789.82
다사601488,37.53811058,127.0489294,175,서울숲역,723.87
다사587518,37.56508885,127.0329142,176,상왕십리,362.17
다사599493,37.54260857,127.0466383,46,서울숲역,209.43
다사604513,37.56065679,127.0521903,58,용답,206.34
다사590516,37.56329959,127.0363223,107,왕십리,169.55
다사590520,37.5669049,127.0363,54,왕십리,555.28
다사569500,37.5487826,127.0126387,0,금호,283.19
다사616502,37.55079289,127.0658346,170,성수,1106.46
다사593522,37.56872084,127.0396858,68,마장,410.43
다사612489,37.53905882,127.0613749,66,성수,780.69
다사594515,37.56241596,127.0408569,372,왕십리,320.55
다사587521,37.56779283,127.0328974,36,상왕십리,509.52
다사604500,37.54893949,127.0522604,39,뚝섬,470
다사615499,37.54808472,127.0647182,31,성수,860.71
다사582514,37.56146101,127.0272756,211,상왕십리,366.46
다사571489,37.53887732,127.014967,67,옥수,371.05
다사575499,37.54790911,127.0194367,248,금호,324.41
다사578497,37.54612023,127.0228443,192,금호,666.64
다사578494,37.54341624,127.0228615,127,옥수,527.84
다사617499,37.54809305,127.0669823,24,성수,1043.46
다사581503,37.55154187,127.0262061,36,신금호,608.43
다사584523,37.56958199,127.029489,122,상왕십리,567.26
다사600514,37.56154086,127.0476559,274,용답,290.83
다사609497,37.54625682,127.0579366,0,성수,249.94
다사596496,37.54529948,127.043226,549,서울숲역,221.05
다사606496,37.54534273,127.0545459,0,성수,149.56
다사590503,37.55158232,127.0363949,14,한양대,837.59
다사602500,37.54893088,127.0499963,400,뚝섬,299.62
다사601502,37.55072923,127.0488533,320,뚝섬,414.58
다사586510,37.55787375,127.0318271,40,행당,216.44
다사580503,37.55153733,127.025074,182,신금호,527.61
다사584504,37.55245678,127.0295967,428,행당,538.3
다사579505,37.55333542,127.0239304,191,신금호,337.01
다사579495,37.54432214,127.0239878,112,옥수,659.88
다사582502,37.55064508,127.0273439,382,신금호,747.33
다사605499,37.54804245,127.0533978,54,성수,442.83
다사612492,37.54176282,127.0613591,0,성수,571.11
다사591522,37.56871199,127.0374211,80,마장,567.05
다사616513,37.56070754,127.065777,178,신답,835.43
다사606485,37.53542806,127.0546049,493,성수,1030.18
다사587512,37.55968089,127.032948,244,왕십리,278.95
다사601503,37.55163056,127.0488479,0,뚝섬,510.79
다사605494,37.54353579,127.0534247,265,성수,256.17
다사605519,37.56606906,127.0532902,155,답십리,101.49
다사590513,37.5605956,127.0363391,115,왕십리,96.59
다사581524,37.57046973,127.0260862,0,상왕십리,707.34
다사590525,37.57141153,127.036272,105,마장,834.7
다사584512,37.5596674,127.0295514,413,행당,263.65
다사589520,37.56690044,127.0351676,251,왕십리,578.54
다사587520,37.5668915,127.032903,141,상왕십리,443.52
다사615495,37.54447939,127.0647392,45,성수,772.16
다사568493,37.54246864,127.0115478,300,옥수,515.46
다사612495,37.54446682,127.0613432,121,성수,472.92
다사584521,37.56777934,127.0295004,537,상왕십리,368.39
다사574494,37.54339786,127.0183337,435,옥수,214.25
다사585517,37.56417854,127.0306553,42,상왕십리,161.29
다사600492,37.54171158,127.0477757,216,서울숲역,349.59
