GID,위도,경도,생활인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수
다사599515,37.56243784,127.0465182,144.0,0,8,11
다사608499,37.54805524,127.0567939,259.0,1,2,5
다사602492,37.54172023,127.0500396,618.0,3,11,18
다사600495,37.54441558,127.0477594,49.0,0,9,20
다사607494,37.54354433,127.0556886,68.0,2,9,13
다사614495,37.54447521,127.0636072,9.0,0,9,13
다사592521,37.5678151,127.038559,10.0,0,6,10
다사622510,37.55802833,127.0725859,152.0,2,4,9
다사581519,37.5659631,127.0261148,172.0,2,14,22
다사608506,37.55436457,127.0567566,8.0,0,0,0
다사566493,37.54245925,127.0092839,333.0,0,13,20
다사594513,37.5606133,127.040868,225.0,5,14,31
다사591507,37.55519207,127.0375047,506.0,0,12,26
다사572492,37.54158595,127.0160814,9.0,4,15,24
다사596499,37.54800347,127.0432095,139.0,0,5,8
다사575492,37.54159982,127.0194772,255.0,0,3,5
다사600503,37.55162623,127.0477158,12.0,2,3,6
다사588504,37.55247474,127.0341251,321.0,6,23,38
다사596518,37.56512873,127.0431049,127.0,6,10,13
다사607493,37.54264299,127.055694,56.0,1,10,17
다사618512,37.55981452,127.0680467,112.0,0,4,6
다사582518,37.56506632,127.0272528,360.0,2,13,20
다사576500,37.54881504,127.020563,376.0,10,19,34
다사600516,37.56334351,127.047645,202.0,0,4,8
다사594498,37.54709336,127.0409509,113.0,0,0,4
다사615501,37.54988739,127.0647077,80.0,0,6,13
다사609485,37.53544082,127.0580005,249.0,3,10,15
다사579522,37.56865797,127.0238329,377.0,2,10,16
다사572499,37.54789524,127.0160406,19.0,6,19,35
다사621509,37.5571229,127.0714589,285.0,2,4,5
다사573496,37.54519589,127.0171901,146.0,3,16,27
다사609490,37.53994749,127.0579739,0.0,0,8,18
다사579501,37.54973011,127.0239534,391.0,0,14,39
다사574492,37.54159521,127.0183453,119.0,3,4,10
다사589503,37.55157787,127.0352628,29.0,4,14,24
다사594499,37.54799469,127.0409454,267.0,0,0,3
다사618506,37.55440652,127.0680779,29.0,0,3,7
다사583510,37.55786023,127.0284305,392.0,3,9,21
다사569496,37.54517729,127.0126621,453.0,0,22,25
다사591516,37.56330403,127.0374546,264.0,5,13,24
다사590510,37.55789162,127.0363558,61.0,0,18,36
다사598521,37.56784146,127.0453531,89.0,4,9,16
다사614513,37.56069919,127.0635126,29.0,0,5,10
다사608487,37.53723925,127.0568579,186.0,5,15,23
다사597493,37.54259986,127.0443744,92.0,4,14,19
다사587504,37.55247026,127.032993,391.0,7,26,43
다사605514,37.56156241,127.0533171,323.0,0,0,4
다사600515,37.56244218,127.0476504,174.0,0,6,11
다사589507,37.55518318,127.0352404,538.0,8,21,38
다사594511,37.55881065,127.040879,65.0,4,18,26
다사604515,37.56245945,127.0521795,253.0,0,0,8
다사593498,37.54708896,127.0398189,88.0,0,0,2
다사597520,37.56693576,127.0442262,11.0,3,10,14
다사601497,37.54622257,127.0488805,7.0,4,7,12
다사601486,37.53630791,127.0489402,12.0,0,2,4
다사602495,37.54442423,127.0500234,113.0,3,9,10
다사598520,37.56694013,127.0453585,162.0,4,9,13
다사602487,37.53721357,127.0500667,266.0,2,4,9
다사603487,37.53721787,127.0511986,287.0,2,5,13
다사610491,37.54085305,127.0591005,8.0,0,1,16
다사578512,37.55964014,127.0227581,150.0,2,10,18
다사581499,37.54793656,127.0262289,31.0,10,14,24
다사593509,37.55700358,127.0397579,438.0,6,13,19
다사589523,37.56960442,127.0351508,146.0,0,4,9
다사601488,37.53811058,127.0489294,175.0,2,8,12
다사587518,37.56508885,127.0329142,176.0,0,9,17
다사599493,37.54260857,127.0466383,46.0,1,13,23
다사604513,37.56065679,127.0521903,58.0,0,3,5
다사590516,37.56329959,127.0363223,107.0,3,13,22
다사590520,37.5669049,127.0363,54.0,4,7,11
다사569500,37.5487826,127.0126387,0.0,3,6,23
다사616502,37.55079289,127.0658346,170.0,1,8,13
다사593522,37.56872084,127.0396858,68.0,0,2,10
다사612489,37.53905882,127.0613749,66.0,2,8,16
다사594515,37.56241596,127.0408569,372.0,2,11,24
다사587521,37.56779283,127.0328974,36.0,1,7,12
다사604500,37.54893949,127.0522604,39.0,0,4,8
다사615499,37.54808472,127.0647182,31.0,3,11,15
다사582514,37.56146101,127.0272756,211.0,2,7,13
다사571489,37.53887732,127.014967,67.0,0,7,11
다사575499,37.54790911,127.0194367,248.0,5,26,31
다사578497,37.54612023,127.0228443,192.0,2,18,25
다사578494,37.54341624,127.0228615,127.0,1,4,4
다사617499,37.54809305,127.0669823,24.0,5,12,18
다사581503,37.55154187,127.0262061,36.0,9,19,38
다사584523,37.56958199,127.029489,122.0,2,8,17
다사600514,37.56154086,127.0476559,274.0,4,9,13
다사609497,37.54625682,127.0579366,0.0,0,2,10
다사596496,37.54529948,127.043226,549.0,2,9,13
다사606496,37.54534273,127.0545459,0.0,4,7,9
다사590503,37.55158232,127.0363949,14.0,2,9,19
다사602500,37.54893088,127.0499963,400.0,0,4,8
다사601502,37.55072923,127.0488533,320.0,0,4,5
다사586510,37.55787375,127.0318271,40.0,5,16,25
다사580503,37.55153733,127.025074,182.0,6,18,33
다사584504,37.55245678,127.0295967,428.0,8,20,44
다사579505,37.55333542,127.0239304,191.0,8,31,45
다사579495,37.54432214,127.0239878,112.0,4,6,7
다사582502,37.55064508,127.0273439,382.0,3,19,37
다사605499,37.54804245,127.0533978,54.0,0,3,12
다사612492,37.54176282,127.0613591,0.0,2,9,10
다사591522,37.56871199,127.0374211,80.0,0,5,8
다사616513,37.56070754,127.065777,178.0,4,6,7
다사606485,37.53542806,127.0546049,493.0,1,5,13
다사587512,37.55968089,127.032948,244.0,2,12,21
다사601503,37.55163056,127.0488479,0.0,0,4,4
다사605494,37.54353579,127.0534247,265.0,0,7,18
다사605519,37.56606906,127.0532902,155.0,4,9,12
다사590513,37.5605956,127.0363391,115.0,8,11,28
다사581524,37.57046973,127.0260862,0.0,3,6,13
다사590525,37.57141153,127.036272,105.0,1,5,9
다사584512,37.5596674,127.0295514,413.0,0,6,11
다사589520,37.56690044,127.0351676,251.0,3,5,8
다사587520,37.5668915,127.032903,141.0,1,6,14
다사615495,37.54447939,127.0647392,45.0,3,10,13
다사568493,37.54246864,127.0115478,300.0,11,22,29
다사612495,37.54446682,127.0613432,121.0,0,5,13
다사584521,37.56777934,127.0295004,537.0,6,10,20
다사574494,37.54339786,127.0183337,435.0,0,8,19
다사585517,37.56417854,127.0306553,42.0,3,9,13
다사600492,37.54171158,127.0477757,216.0,4,11,18
다사583517,37.56416952,127.0283907,241.0,3,6,15
다사593519,37.56601686,127.0397025,247.0,2,14,16
다사592520,37.56691377,127.0385646,482.0,1,6,17
다사573502,37.55060386,127.0171552,237.0,5,18,25
다사622511,37.55892967,127.0725807,176.0,0,4,6
다사591511,37.55879739,127.0374824,73.0,2,15,29
다사571497,37.54608794,127.0149203,487.0,3,18,28
다사621510,37.55802423,127.0714537,75.0,2,2,6
다사611490,37.53995594,127.0602377,142.0,0,4,14
다사605513,37.56066108,127.0533225,132.0,0,2,4
다사601487,37.53720925,127.0489348,254.0,2,2,9
다사589509,37.55698584,127.0352292,150.0,5,19,33
다사602486,37.53631223,127.0500721,130.0,0,4,4
다사615494,37.54357805,127.0647444,52.0,4,9,13
다사611497,37.54626528,127.0602006,107.0,0,2,6
다사601493,37.54261724,127.0489022,125.0,4,9,17
다사600501,37.54982357,127.0477267,456.0,0,4,10
다사604501,37.54984082,127.052255,20.0,0,4,4
다사588517,37.564192,127.0340521,251.0,0,8,16
다사593525,37.57142482,127.0396692,43.0,0,6,9
다사587523,37.56959548,127.0328861,60.0,1,4,10
다사612497,37.54626949,127.0613327,23.0,0,2,8
다사609514,37.56157946,127.0578461,167.0,1,4,7
다사574503,37.55150981,127.0182815,195.0,4,15,30
다사586520,37.56688702,127.0317707,179.0,2,9,14
다사569499,37.54788127,127.0126445,307.0,2,8,15
다사619506,37.55441066,127.0692101,277.0,0,4,10
다사587522,37.56869416,127.0328917,400.0,0,6,12
다사610514,37.56158369,127.0589783,182.0,1,6,7
다사579524,37.57046062,127.0238215,133.0,2,8,11
다사579498,37.54702613,127.0239706,320.0,3,20,27
다사608490,37.53994325,127.0568419,80.0,2,9,19
다사613493,37.54266835,127.0624857,0.0,3,9,11
다사587519,37.56599018,127.0329086,146.0,1,6,19
다사608485,37.53543658,127.0568686,407.0,2,8,15
다사612496,37.54536815,127.0613379,0.0,0,3,11
다사569493,37.54247331,127.0126797,350.0,10,29,32
다사576503,37.55151903,127.0205457,249.0,4,13,33
다사618501,37.54989986,127.0681039,97.0,5,14,21
다사585522,37.56868517,127.030627,536.0,3,8,14
다사588507,37.55517872,127.0341083,159.0,14,22,38
다사607515,37.56247229,127.0555762,100.0,1,3,9
다사598503,37.55161753,127.0454516,21.0,2,4,5
다사592524,37.57051908,127.0385424,54.0,2,4,8
다사598492,37.54170289,127.0455118,362.0,4,14,21
다사601512,37.55974253,127.048799,130.0,2,8,19
다사583503,37.55155094,127.0284703,85.0,4,26,40
다사591518,37.56510668,127.0374434,270.0,3,12,15
다사621508,37.55622157,127.071464,100.0,1,4,8
다사593524,37.5705235,127.0396747,149.0,0,5,7
다사587503,37.55156894,127.0329986,342.0,5,25,35
다사612491,37.54086149,127.0613643,0.0,0,5,11
다사584505,37.55335811,127.029591,326.0,7,19,36
