대중교통,역(정류장)명,호선명,노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),X좌표,Y좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
지하철,금호,3,,Y,N,N,127.015785,37.548269,금호동3가,11200111,,,,,,8304.57,7820.37,16124.94,249137,234611,483748
지하철,답십리,5,,Y,N,N,127.05266,37.566833,용답동,11200122,,,,,,16342.37,14787.4,31129.77,490271,443622,933893
지하철,뚝섬,2,,Y,N,N,127.047413,37.54718,성수동1가,11200114,,,,,,26766.6,27627.07,54393.67,802998,828812,1631810
지하철,마장,5,,Y,N,N,127.042921,37.566066,마장동,11200105,,,,,,6135.57,5771.7,11907.27,184067,173151,357218
지하철,상왕십리,2,,Y,N,N,127.028872,37.564504,하왕십리동,11200102,,,,,,14847.23,14506.97,29354.2,445417,435209,880626
지하철,서울숲,"	수인·분당선",,Y,N,N,127.044689,37.543685,성수동1가,11200114,,,,,,15032.37,15997.33,31029.7,450971,479920,930891
지하철,성수,2,,Y,N,N,127.055983,37.544628,성수동2가,11200115,,,,,,48671.23,52445.53,101116.76,1460137,1573366,3033503
지하철,신금호,5,,Y,N,N,127.020403,37.554504,금호동1가,11200109,,,,,,6479.43,6869.13,13348.56,194383,206074,400457
지하철,신답,2,,Y,N,N,127.047143,37.569706,용답동,11200122,,,,,,1664.07,1841.5,3505.57,49922,55245,105167
지하철,옥수 3호선,3,,Y,N,N,127.017303,37.541653,옥수동,11200113,,,,,,9284.1,9523.57,18807.67,278523,285707,564230
지하철,옥수 경의중앙,경의·중앙선,,Y,N,N,127.018672,37.540446,옥수동,11200113,,,,,,63.43,43.87,107.3,1903,1316,3219
지하철,왕십리(성동구청) 2호선,2,,Y,N,N,127.035505,37.561159,행당동,11200107,,,,,,16473.47,14938.67,31412.14,494204,448160,942364
지하철,왕십리(성동구청) 5호선,5,,Y,N,N,127.037059,37.56184,행당동,11200107,,,,,,4581.33,5013.73,9595.06,137440,150412,287852
지하철,왕십리(성동구청) 수인분당,수인·분당선,,Y,N,N,127.038352,37.561827,행당동,11200108,,,,,,,,,,,
지하철,왕십리(성동구청) 경의중앙,경의·중앙선,,Y,N,N,127.038352,37.561827,행당동,11200109,,,,,,16990.93,16793.53,33784.46,509728,503806,1013534
지하철,용답,2,,Y,N,N,127.050855,37.562181,사근동,11200106,,,,,,3251.63,3241.73,6493.36,97549,97252,194801
지하철,장한평,5,,Y,N,N,127.063961,37.561563,용답동,11200122,,,,,,19747.27,19513.5,39260.77,592418,585405,1177823
지하철,한양대,2,,Y,N,N,127.043709,37.555422,행당동,11200107,,,,,,14095.67,15518.07,29613.74,422870,465542,888412
지하철,행당,5,,Y,N,N,127.029482,37.557297,행당동,11200107,,,,,,8152.03,7278.7,15430.73,244561,218361,462922
버스,e편한세상금호109동,,2,N,Y,N,127.021876,37.553483,금호동1가,11200109,,103900267,4879,서울 성동구 금호동1가 558-1,,2.97,45.2,48.17,89,1356,1445
버스,e편한세상금호117동,,2,N,Y,N,127.024679,37.552657,금호동1가,11200109,,103900131,4602,서울 성동구 금호동1가 1825,,14.87,78.43,93.3,446,2353,2799
버스,GS25,,1,N,Y,N,127.0671618,37.55030467,송정동,11200118,,103900057,4659,서울 성동구 송정동 73-577,서울특별시 성동구 광나루로11길 28 (송정동),40.5,65.27,105.77,1215,1958,3173
버스,GS주유소,,1,N,Y,N,127.0251254,37.54681133,금호동4가,11200112,,103900147,4697,서울 성동구 금호동4가 189,,184.57,72.5,257.07,5537,2175,7712
버스,SK테크노빌딩앞,,1,N,Y,N,127.050228,37.545888,성수동1가,11200114,,103000139,4241,서울 성동구 성수동2가 276-5,서울특별시 성동구 성수이로 101-1 (성수동2가),8.7,59.43,68.13,261,1783,2044
버스,경동초등학교입구,,2,N,Y,N,127.04948,37.54377,성수동1가,11200114,,103000141,4243,서울 성동구 성수동1가 694-3,,40.27,64.2,104.47,2416,3852,6268
버스,경동초등학교입구,,2,N,Y,N,127.0492129,37.5433913,성수동1가,11200114,,103000142,4244,서울 성동구 성수동1가 656-6,,83.5,40.25,123.75,5010,2415,7425
버스,경동초등학교입구,,1,N,Y,N,127.051155,37.545895,성수동2가,11200115,,103900299,4547,서울 성동구 성수동2가 276-5,서울특별시 성동구 성수이로 101-1 (성수동2가),59.55,25.57,85.12,3573,1534,5107
버스,경수중학교,,,N,Y,N,127.0622986,37.53816503,성수동2가,11200115,,103000091,,서울 광진구 자양동 236,서울특별시 광진구 동일로 56 (자양동),747.5,555.43,1302.93,22425,16663,39088
버스,경수중학교,,,N,Y,N,127.0570118,37.53828654,성수동2가,11200115,,103000094,,서울 성동구 성수동2가 331-9,,172.3,78.37,250.67,5169,2351,7520
버스,경수중학교,,,N,Y,N,127.0572982,37.53969986,성수동2가,11200115,,103000095,,서울 성동구 성수동2가 269-278,서울특별시 성동구 성수이로12길 17-1 (성수동2가),62.97,319.4,382.37,1889,9582,11471
버스,경수중학교입구,,,N,Y,N,127.059621,37.543514,성수동2가,11200115,,103900048,,서울 성동구 성수동2가 289-36,,49.37,10.67,60.04,1481,320,1801
버스,경수중학교입구,,,N,Y,N,127.060089,37.543363,성수동2가,11200115,,103900297,,서울 성동구 성수동2가 289-36,,10.13,162.9,173.03,304,4887,5191
버스,경일중고등학교,,1,N,Y,N,127.049131,37.542316,성수동1가,11200114,,103900251,4852,서울 성동구 성수동1가 694-3,,5.3,54.9,60.2,159,1647,1806
버스,경일중고등학교,,1,N,Y,N,127.04921,37.542503,성수동1가,11200114,,103900262,4863,서울 성동구 성수동1가 26-7,,46.03,5.97,52,1381,179,1560
버스,경일초등학교앞,,2,N,Y,N,127.048207,37.540772,성수동1가,11200114,,103000143,4245,서울 성동구 성수동1가 72-128,,30.07,77.3,107.37,1804,4638,6442
버스,경일초등학교앞,,2,N,Y,N,127.048175,37.540917,성수동1가,11200114,,103000144,4246,서울 성동구 성수동1가 72-128,,73.85,41.15,115,4431,2469,6900
버스,경일초등학교입구,,2,N,Y,N,127.046372,37.541079,성수동1가,11200114,,103000084,4183,서울 성동구 성수동1가 656-1277,,105.2,5.33,110.53,3156,160,3316
버스,경일초등학교입구,,2,N,Y,N,127.046014,37.541382,성수동1가,11200114,,103000085,4184,서울 성동구 성수동1가 656-235,서울특별시 성동구 뚝섬로1길 2 (성수동1가),4.73,109.6,114.33,142,3288,3430
버스,광희중학교.응봉역,,1,N,Y,N,127.0350585,37.55191103,응봉동,11200108,,103900175,4821,서울 성동구 응봉동 59,"서울특별시 성동구 독서당로63길 59 (응봉동, 응봉동다세대)",25.03,52.77,77.8,751,1583,2334
버스,국민은행,,1,N,Y,N,127.0122219,37.54269716,옥수동,11200113,,103900190,4802,서울 성동구 옥수동 산 5-150,,47.47,37.83,85.3,1424,1135,2559
버스,국민은행,,1,N,Y,N,127.0127561,37.5427782,옥수동,11200113,,103900191,4803,서울 성동구 옥수동 244-11,서울특별시 성동구 독서당로 194-1 (옥수동),20.87,36.43,57.3,626,1093,1719
버스,군자교남단,,4,N,Y,N,127.072438,37.557542,송정동,11200118,,103000117,4216,서울 성동구 송정동 97-41,,74.96,89.44,164.4,8396,10017,18413
버스,극동.풍림아파트,,1,N,Y,N,127.023641,37.55904489,하왕십리동,11200102,,103900111,4658,서울 성동구 하왕십리동 1000-674,,73.6,308.57,382.17,2208,9257,11465
버스,극동그린아파트,,2,N,Y,N,127.011905,37.54206463,옥수동,11200113,,103000179,4282,서울 성동구 옥수동 559,서울특별시 성동구 독서당로 184 (옥수동),62.32,17.13,79.45,3739,1028,4767
버스,극동그린아파트앞,,3,N,Y,N,127.011393,37.542003,옥수동,11200113,,103000168,4270,서울 성동구 옥수동 산 5-149,,30.2,43.23,73.43,2718,3891,6609
버스,극동아파트,,3,N,Y,N,127.023935,37.558095,하왕십리동,11200102,,103000172,4275,서울 성동구 하왕십리동 1060,,154.93,98.52,253.45,9296,5911,15207
버스,극동아파트4동,,1,N,Y,N,127.0116845,37.5435055,옥수동,11200113,,103900004,4759,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),68.87,1.43,70.3,2066,43,2109
버스,극동아파트4동,,1,N,Y,N,127.0115883,37.54353164,옥수동,11200113,,103900005,4758,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),0.9,120.47,121.37,27,3614,3641
