GID,위도,경도,생활인구수
다사599515,37.56243784,127.0465182,144
다사608499,37.54805524,127.0567939,259
다사602492,37.54172023,127.0500396,618
다사600495,37.54441558,127.0477594,49
다사607494,37.54354433,127.0556886,68
다사614495,37.54447521,127.0636072,9
다사592521,37.5678151,127.038559,10
다사622510,37.55802833,127.0725859,152
다사581519,37.5659631,127.0261148,172
다사608506,37.55436457,127.0567566,8
다사566493,37.54245925,127.0092839,333
다사594513,37.5606133,127.040868,225
다사591507,37.55519207,127.0375047,506
다사572492,37.54158595,127.0160814,9
다사596499,37.54800347,127.0432095,139
다사575492,37.54159982,127.0194772,255
다사600503,37.55162623,127.0477158,12
다사588504,37.55247474,127.0341251,321
다사596518,37.56512873,127.0431049,127
다사607493,37.54264299,127.055694,56
다사618512,37.55981452,127.0680467,112
다사582518,37.56506632,127.0272528,360
다사576500,37.54881504,127.020563,376
다사600516,37.56334351,127.047645,202
다사594498,37.54709336,127.0409509,113
다사615501,37.54988739,127.0647077,80
다사609485,37.53544082,127.0580005,249
다사579522,37.56865797,127.0238329,377
다사572499,37.54789524,127.0160406,19
다사621509,37.5571229,127.0714589,285
다사573496,37.54519589,127.0171901,146
다사609490,37.53994749,127.0579739,0
다사579501,37.54973011,127.0239534,391
다사574492,37.54159521,127.0183453,119
다사589503,37.55157787,127.0352628,29
다사594499,37.54799469,127.0409454,267
다사618506,37.55440652,127.0680779,29
다사583510,37.55786023,127.0284305,392
다사569496,37.54517729,127.0126621,453
다사591516,37.56330403,127.0374546,264
다사590510,37.55789162,127.0363558,61
다사598521,37.56784146,127.0453531,89
다사614513,37.56069919,127.0635126,29
다사608487,37.53723925,127.0568579,186
다사597493,37.54259986,127.0443744,92
다사587504,37.55247026,127.032993,391
다사605514,37.56156241,127.0533171,323
다사600515,37.56244218,127.0476504,174
다사589507,37.55518318,127.0352404,538
다사594511,37.55881065,127.040879,65
다사604515,37.56245945,127.0521795,253
다사593498,37.54708896,127.0398189,88
다사597520,37.56693576,127.0442262,11
다사601497,37.54622257,127.0488805,7
다사601486,37.53630791,127.0489402,12
다사602495,37.54442423,127.0500234,113
다사598520,37.56694013,127.0453585,162
다사602487,37.53721357,127.0500667,266
다사603487,37.53721787,127.0511986,287
다사610491,37.54085305,127.0591005,8
다사578512,37.55964014,127.0227581,150
다사581499,37.54793656,127.0262289,31
다사593509,37.55700358,127.0397579,438
다사589523,37.56960442,127.0351508,146
다사601488,37.53811058,127.0489294,175
다사587518,37.56508885,127.0329142,176
다사599493,37.54260857,127.0466383,46
다사604513,37.56065679,127.0521903,58
다사590516,37.56329959,127.0363223,107
다사590520,37.5669049,127.0363,54
다사569500,37.5487826,127.0126387,0
다사616502,37.55079289,127.0658346,170
다사593522,37.56872084,127.0396858,68
다사612489,37.53905882,127.0613749,66
다사594515,37.56241596,127.0408569,372
다사587521,37.56779283,127.0328974,36
다사604500,37.54893949,127.0522604,39
다사615499,37.54808472,127.0647182,31
다사582514,37.56146101,127.0272756,211
다사571489,37.53887732,127.014967,67
다사575499,37.54790911,127.0194367,248
다사578497,37.54612023,127.0228443,192
다사578494,37.54341624,127.0228615,127
다사617499,37.54809305,127.0669823,24
다사581503,37.55154187,127.0262061,36
다사584523,37.56958199,127.029489,122
다사600514,37.56154086,127.0476559,274
다사609497,37.54625682,127.0579366,0
다사596496,37.54529948,127.043226,549
다사606496,37.54534273,127.0545459,0
다사590503,37.55158232,127.0363949,14
다사602500,37.54893088,127.0499963,400
다사601502,37.55072923,127.0488533,320
다사586510,37.55787375,127.0318271,40
다사580503,37.55153733,127.025074,182
다사584504,37.55245678,127.0295967,428
다사579505,37.55333542,127.0239304,191
다사579495,37.54432214,127.0239878,112
다사582502,37.55064508,127.0273439,382
다사605499,37.54804245,127.0533978,54
다사612492,37.54176282,127.0613591,0
다사591522,37.56871199,127.0374211,80
