기준일ID,시군구명,총생활인구수
20240922,종로구,271213.8927
20240922,중구,247412.7582
20240922,용산구,291482.1198
20240922,성동구,341429.8421
20240922,광진구,389399.2211
20240922,동대문구,366355.5123
20240922,중랑구,351805.5124
20240922,성북구,437733.3462
20240922,강북구,285233.8518
20240922,도봉구,274361.3734
20240922,노원구,487231.1575
20240922,은평구,448139.2743
20240922,서대문구,370483.9734
20240922,마포구,487385.5625
20240922,양천구,381188.2764
20240922,강서구,547527.7439
20240922,구로구,419462.142
20240922,금천구,216417.7953
20240922,영등포구,488134.4508
20240922,동작구,392054.3082
20240922,관악구,492491.2727
20240922,서초구,520563.4555
20240922,강남구,752078.6866
20240922,송파구,753508.3863
20240922,강동구,523833.2469
20240923,종로구,324194.8428
20240923,중구,349705.5304
20240923,용산구,290708.5037
20240923,성동구,361183.1592
20240923,광진구,378865.5779
20240923,동대문구,374207.5634
20240923,중랑구,331313.0623
20240923,성북구,433641.5406
20240923,강북구,268903.2808
20240923,도봉구,257744.9264
20240923,노원구,470525.7044
20240923,은평구,418166.3728
20240923,서대문구,407960.4692
20240923,마포구,468971.0115
20240923,양천구,362367.2824
20240923,강서구,548434.4035
20240923,구로구,415812.6139
20240923,금천구,241680.4562
20240923,영등포구,528219.5312
20240923,동작구,383876.1451
20240923,관악구,467182.1503
20240923,서초구,613925.4281
20240923,강남구,904986.7261
20240923,송파구,741716.0803
20240923,강동구,506160.533
20240924,종로구,327919.8947
20240924,중구,358574.6743
20240924,용산구,295163.5574
20240924,성동구,363238.9026
20240924,광진구,377452.6637
20240924,동대문구,375220.8358
20240924,중랑구,328283.3473
20240924,성북구,433791.4199
20240924,강북구,266325.4959
20240924,도봉구,255573.5751
20240924,노원구,468475.1446
20240924,은평구,414447.586
20240924,서대문구,410423.3342
20240924,마포구,466696.9544
20240924,양천구,359849.0901
20240924,강서구,546422.8746
20240924,구로구,415866.1811
20240924,금천구,240265.4097
20240924,영등포구,530893.0187
20240924,동작구,382620.4191
20240924,관악구,464344.9052
20240924,서초구,620967.8875
20240924,강남구,915942.0349
20240924,송파구,743730.3065
20240924,강동구,501884.7139
20240925,종로구,333235.3687
20240925,중구,359540.9293
20240925,용산구,298515.2946
20240925,성동구,363407.4937
20240925,광진구,375344.3142
20240925,동대문구,376088.2483
20240925,중랑구,328927.814
20240925,성북구,435040.2573
20240925,강북구,265797.497
20240925,도봉구,254024.8701
20240925,노원구,469799.0984
20240925,은평구,414181.1812
20240925,서대문구,409117.0501
20240925,마포구,470781.4281
20240925,양천구,359898.884
20240925,강서구,546949.3837
20240925,구로구,412817.5386
20240925,금천구,240011.1681
20240925,영등포구,531897.2445
20240925,동작구,383532.8619
20240925,관악구,464928.5748
20240925,서초구,620778.5551
20240925,강남구,915561.2082
20240925,송파구,744148.9321
20240925,강동구,504168.4195
20240926,종로구,336546.6985
20240926,중구,359956.0838
20240926,용산구,297181.6558
20240926,성동구,363324.6705
20240926,광진구,371344.3492
20240926,동대문구,376333.8923
20240926,중랑구,328760.2174
20240926,성북구,433719.7534
20240926,강북구,264014.661
20240926,도봉구,253929.8377
20240926,노원구,469383.5227
20240926,은평구,414881.4795
20240926,서대문구,409973.0627
20240926,마포구,472809.1495
20240926,양천구,359330.0191
20240926,강서구,546192.9424
20240926,구로구,411626.4921
20240926,금천구,239943.4847
20240926,영등포구,531035.9762
20240926,동작구,382597.1795
20240926,관악구,464478.821
20240926,서초구,621265.106
20240926,강남구,919787.893
20240926,송파구,746063.7067
20240926,강동구,503637.7117
20240927,종로구,333206.0841
20240927,중구,352102.2483
20240927,용산구,301426.0089
20240927,성동구,363105.855
20240927,광진구,375099.8067
20240927,동대문구,369165.5618
20240927,중랑구,328826.2312
20240927,성북구,424292.432
20240927,강북구,265508.6193
20240927,도봉구,253847.5072
20240927,노원구,468341.4153
20240927,은평구,416094.5821
20240927,서대문구,397988.8259
20240927,마포구,480878.3877
20240927,양천구,363487.7771
20240927,강서구,546667.2862
20240927,구로구,412752.3857
20240927,금천구,236930.4967
20240927,영등포구,532672.634
20240927,동작구,381729.2519
20240927,관악구,462468.8248
20240927,서초구,621386.4103
20240927,강남구,909639.5538
20240927,송파구,752699.0657
20240927,강동구,505824.8436
20240928,종로구,300747.4084
20240928,중구,272634.7383
20240928,용산구,301039.4657
20240928,성동구,346961.9226
20240928,광진구,390274.2592
20240928,동대문구,363793.7578
20240928,중랑구,340351.4949
20240928,성북구,430420.5236
20240928,강북구,276723.9042
20240928,도봉구,262511.1496
20240928,노원구,478967.2981
20240928,은평구,433600.915
20240928,서대문구,372745.3963
20240928,마포구,478538.7858
20240928,양천구,372676.2441
20240928,강서구,539952.4021
20240928,구로구,408032.4925
20240928,금천구,211924.3572
20240928,영등포구,489871.7079
20240928,동작구,387586.8952
20240928,관악구,474374.4458
20240928,서초구,553120.7182
20240928,강남구,794249.9083
20240928,송파구,747019.9632
20240928,강동구,509928.2629
