대중교통,역(정류장),호선명,노선(수),x_좌표,y_좌표,지하철_여부,버스_여부,따릉이_여부,동_이름,GID,NODE_ID,주소,도로명,버스정류장ARS번호,총승차인원,총하차인원
버스,e편한세상금호109동,,2,127.021876,37.553483,N,Y,N,금호동1가,11200109,103900267,서울 성동구 금호동1가 558-1,,4879,89,1356
버스,e편한세상금호117동,,2,127.024679,37.552657,N,Y,N,금호동1가,11200109,103900131,서울 성동구 금호동1가 1825,,4602,446,2353
버스,GS25,,1,127.0671618,37.55030467,N,Y,N,송정동,11200118,103900057,서울 성동구 송정동 73-577,,4659,1215,1958
버스,GS주유소,,1,127.0251254,37.54681133,N,Y,N,금호동4가,11200112,103900147,서울 성동구 금호동4가 189,,4697,5537,2175
버스,SK테크노빌딩앞,,1,127.050228,37.545888,N,Y,N,성수동1가,11200114,103000139,서울 성동구 성수동2가 276-5,,4241,261,1783
버스,경동초등학교입구,,2,127.04948,37.54377,N,Y,N,성수동1가,11200114,103000141,서울 성동구 성수동1가 694-3,,4243,2416,3852
버스,경동초등학교입구,,2,127.0492129,37.5433913,N,Y,N,성수동1가,11200114,103000142,서울 성동구 성수동1가 656-6,,4244,5010,2415
버스,경동초등학교입구,,1,127.051155,37.545895,N,Y,N,성수동2가,11200115,103900299,서울 성동구 성수동2가 276-5,,4547,3573,1534
버스,경수중학교,,11,127.0622986,37.53816503,N,Y,N,성수동2가,11200115,,서울 광진구 자양동 236,,,,
버스,경수중학교,,4,127.0570118,37.53828654,N,Y,N,성수동2가,11200115,,서울 성동구 성수동2가 331-9,,,,
버스,경수중학교,,4,127.0572982,37.53969986,N,Y,N,성수동2가,11200115,,서울 성동구 성수동2가 269-278,,,,
버스,경수중학교입구,,1,127.059621,37.543514,N,Y,N,성수동2가,11200115,,서울 성동구 성수동2가 289-36,,,,
버스,경수중학교입구,,1,127.060089,37.543363,N,Y,N,성수동2가,11200115,,서울 성동구 성수동2가 289-36,,,,
버스,경일중고등학교,,1,127.049131,37.542316,N,Y,N,성수동1가,11200114,103900251,서울 성동구 성수동1가 694-3,,4852,159,1647
버스,경일중고등학교,,1,127.04921,37.542503,N,Y,N,성수동1가,11200114,103900262,서울 성동구 성수동1가 26-7,,4863,1381,179
버스,경일초등학교앞,,2,127.048207,37.540772,N,Y,N,성수동1가,11200114,103000143,서울 성동구 성수동1가 72-128,,4245,1804,4638
버스,경일초등학교앞,,2,127.048175,37.540917,N,Y,N,성수동1가,11200114,103000144,서울 성동구 성수동1가 72-128,,4246,4431,2469
버스,경일초등학교입구,,2,127.046372,37.541079,N,Y,N,성수동1가,11200114,103000084,서울 성동구 성수동1가 656-1277,,4183,3156,160
버스,경일초등학교입구,,2,127.046014,37.541382,N,Y,N,성수동1가,11200114,103000085,서울 성동구 성수동1가 656-235,,4184,142,3288
버스,광희중학교.응봉역,,1,127.0350585,37.55191103,N,Y,N,응봉동,11200108,103900175,서울 성동구 응봉동 59,,4821,751,1583
버스,국민은행,,1,127.0122219,37.54269716,N,Y,N,옥수동,11200113,103900190,서울 성동구 옥수동 산 5-150,,4802,1424,1135
버스,국민은행,,1,127.0127561,37.5427782,N,Y,N,옥수동,11200113,103900191,서울 성동구 옥수동 244-11,,4803,626,1093
버스,군자교남단,,4,127.072438,37.557542,N,Y,N,송정동,11200118,103000117,서울 성동구 송정동 97-41,,4216,8396,10017
버스,극동.풍림아파트,,1,127.023641,37.55904489,N,Y,N,하왕십리동,11200102,103900111,서울 성동구 하왕십리동 1000-674,,4658,2208,9257
버스,극동그린아파트,,2,127.011905,37.54206463,N,Y,N,옥수동,11200113,103000179,서울 성동구 옥수동 559,,4282,3739,1028
버스,극동그린아파트앞,,3,127.011393,37.542003,N,Y,N,옥수동,11200113,103000168,서울 성동구 옥수동 산 5-149,,4270,2718,3891
버스,극동아파트,,3,127.023935,37.558095,N,Y,N,하왕십리동,11200102,103000172,서울 성동구 하왕십리동 1060,,4275,9296,5911
버스,극동아파트4동,,1,127.0116845,37.5435055,N,Y,N,옥수동,11200113,103900004,서울 성동구 옥수동 428,,4759,2066,43
버스,극동아파트4동,,1,127.0115883,37.54353164,N,Y,N,옥수동,11200113,103900005,서울 성동구 옥수동 428,,4758,27,3614
버스,극동아파트5동,,1,127.011079,37.54315954,N,Y,N,옥수동,11200113,103900149,서울 성동구 옥수동 428,,4501,5334,10209
버스,극동아파트7동,,1,127.0126657,37.54372076,N,Y,N,옥수동,11200113,103900008,서울 성동구 옥수동 428,,4755,378,33
버스,극동아파트7동,,1,127.012754,37.54361893,N,Y,N,옥수동,11200113,103900090,서울 성동구 옥수동 428,,4587,59,2569
버스,극동아파트상가,,1,127.0121009,37.54291975,N,Y,N,옥수동,11200113,103900067,서울 성동구 옥수동 428,,4519,2134,123
버스,극동아파트상가,,1,127.0123679,37.54291161,N,Y,N,옥수동,11200113,103900151,서울 성동구 옥수동 428,,4583,661,2021
버스,금남시장앞.백범학원터,,7,127.0218686,37.54808522,N,Y,N,금호동4가,11200112,103000054,서울 성동구 금호동4가 576-1,,4153,47978,22778
버스,금남시장앞.백범학원터,,7,127.0224878,37.54828876,N,Y,N,금호동4가,11200112,103000055,서울 성동구 금호동3가 420-1,,4154,35592,37858
버스,금남시장앞.백범학원터,,1,127.021648,37.54827449,N,Y,N,금호동3가,11200111,103900009,서울 성동구 금호동4가 576-1,,4751,3912,5116
버스,금봉어린이집.또또와마트,,1,127.0288091,37.55290619,N,Y,N,금호동1가,11200109,103900047,서울 성동구 금호동1가 산 37-1,,4575,1501,454
버스,금봉어린이집.또또와마트,,1,127.0287944,37.55264238,N,Y,N,금호동1가,11200109,103900060,서울 성동구 금호동1가 산 37-1,,4686,1522,2793
버스,금북초등학교.e편한세상금호105동,,2,127.0237361,37.55553782,N,Y,N,금호동1가,11200109,103900120,서울 성동구 금호동1가 1823,,4515,1249,1659
버스,금북초등학교입구,,1,127.0236162,37.55565589,N,Y,N,금호동1가,11200109,103900196,서울 성동구 금호동1가 168-81,,4827,556,509
버스,금옥초등학교.금호대우아파트,,1,127.0186519,37.54658996,N,Y,N,금호동4가,11200112,105000466,서울 성동구 금호동4가 993,,,,
버스,금옥초등학교.금호대우아파트,,1,127.0189291,37.54647457,N,Y,N,금호동4가,11200112,105000467,서울 성동구 금호동4가 800,,,,
버스,금옥초등학교앞,,7,127.018237,37.546254,N,Y,N,금호동4가,11200112,103000059,서울 성동구 금호동4가 984-2,,4158,11292,17270
버스,금옥초등학교입구,,1,127.0197191,37.54688985,N,Y,N,금호동4가,11200112,103900153,서울 성동구 금호동4가 1202-1,,,,
버스,금호119안전센터,,1,127.024731,37.554187,N,Y,N,금호동1가,11200109,103900040,서울 성동구 금호동1가 1350-14,,4546,207,2099
버스,금호119안전센터,,3,127.024578,37.554264,N,Y,N,금호동1가,11200109,103900125,서울 성동구 금호동1가 679-1,,4596,2032,1342
버스,금호1가동주민센터,,2,127.0221955,37.55512902,N,Y,N,금호동1가,11200109,103900025,서울 성동구 금호동1가 1830,,4509,290,506
버스,금호1가동주민센터,,1,127.0208123,37.55472829,N,Y,N,금호동1가,11200109,103900185,서울 성동구 금호동1가 127-2,,4811,1758,6166
버스,금호4가동주민센터.대도빌딩,,1,127.0225635,37.54805265,N,Y,N,금호동4가,11200112,103900027,서울 성동구 금호동4가 548-1,,4520,7250,3489
버스,금호고등학교,,2,127.021945,37.553475,N,Y,N,금호동1가,11200109,103000048,서울 성동구 금호동1가 558-1,,4147,3604,5347
버스,금호고등학교,,2,127.023552,37.553096,N,Y,N,금호동1가,11200109,103900056,서울 성동구 금호동1가 1825,,4651,831,941
버스,금호고등학교.금호자이1차아파트입구,,2,127.0229329,37.55310773,N,Y,N,금호동2가,11200110,103000049,서울 성동구 금호동2가 1214-1,,4148,1384,2447
버스,금호고등학교앞,,1,127.0233929,37.55297995,N,Y,N,금호동2가,11200110,103900182,서울 성동구 금호동2가 1214-1,,4814,517,242
버스,금호공원,,1,127.019575,37.54967696,N,Y,N,금호동3가,11200111,103900082,서울 성동구 금호동3가 1266,,4566,297,1876
버스,금호공원,,1,127.0197742,37.5496508,N,Y,N,금호동3가,11200111,103900094,서울 성동구 금호동3가 1265-51,,4599,292,1916
버스,금호동벽산아파트,,3,127.0256791,37.5511644,N,Y,N,금호동1가,11200109,103000050,서울 성동구 금호동1가 1756-1,,4149,12555,9205
버스,금호베스트빌아파트노인정앞,,1,127.0250695,37.56187332,N,Y,N,하왕십리동,11200102,103900270,서울 성동구 하왕십리동 1052,,4885,613,824
버스,금호사거리,,1,127.0241853,37.54797844,N,Y,N,금호동4가,11200112,105000465,서울 성동구 금호동4가 145,,,,
버스,금호사거리,,1,127.0250025,37.54817651,N,Y,N,금호동3가,11200111,105000464,서울 성동구 금호동3가 218-1,,,,
버스,금호사거리,,1,127.0250613,37.5481765,N,Y,N,성동구,11200111,103900010,서울 성동구 금호동3가 218-1,,4750,2757,4123
버스,금호사거리,,3,127.0259773,37.54946397,N,Y,N,금호동2가,11200110,103000053,서울 성동구 금호동2가 1188-1,,4152,3341,9726
버스,금호사거리,,1,127.025272,37.548008,N,Y,N,금호동4가,11200112,103900070,서울 성동구 금호동4가 116,,4528,1607,3138
버스,금호사거리,,3,127.0260631,37.54887914,N,Y,N,금호동1가,11200109,103000052,서울 성동구 금호동1가 1801-3,,4151,16083,6196
버스,금호산입구,,1,127.019575,37.556722,N,Y,N,금호동2가,11200110,103900031,서울 성동구 금호동2가 1-4,,4529,597,118
버스,금호삼성래미안,,1,127.0269818,37.54787691,N,Y,N,금호동4가,11200112,105000463,서울 성동구 금호동4가 96,,,,
버스,금호삼성래미안,,1,127.0275354,37.54836158,N,Y,N,금호동4가,11200112,105000462,서울 성동구 금호동4가 89-11,,,,
버스,금호어린이집,,1,127.018232,37.556743,N,Y,N,금호동2가,11200110,103900059,서울 성동구 금호동2가 1,,4684,3,908
버스,금호어린이집,,1,127.01862,37.556734,N,Y,N,금호동2가,11200110,103900068,서울 성동구 금호동2가 산 9-1,,4522,182,48
버스,금호역,,2,127.0155079,37.54850311,N,Y,N,금호동3가,11200111,103000057,서울 성동구 금호동3가 1583,,4156,17311,6427
버스,금호역,,2,127.016267,37.547728,N,Y,N,금호동4가,11200112,103000056,서울 성동구 금호동4가 1418-22,,4155,14324,30232
버스,금호역,,1,127.0164273,37.54842402,N,Y,N,금호동4가,11200112,103900003,서울 성동구 금호동4가 1445-1,,4764,15195,300
버스,금호역,,4,127.0169909,37.54854922,N,Y,N,금호동4가,11200112,103900139,서울 성동구 금호동3가 1395,,4762,18917,41763
버스,금호역.3호선,,2,127.0166253,37.54829423,N,Y,N,금호동4가,11200112,103900002,서울 성동구 금호동4가 1450,,4765,19485,2155
버스,금호역.두산상가경비실,,2,127.0166208,37.54861301,N,Y,N,금호동4가,11200112,103900140,서울 성동구 금호동3가 1331,,4763,5978,3475
버스,금호정형외과,,1,127.0204579,37.55408677,N,Y,N,금호동2가,11200110,103900184,서울 성동구 금호동2가 455,,4812,8011,1339
버스,금호초등학교,,1,127.0194943,37.55268843,N,Y,N,금호동2가,11200110,103900163,서울 성동구 금호동2가 511,,4741,182,7424
버스,논골.e편한세상금호114동,,2,127.0246041,37.55519162,N,Y,N,금호동1가,11200109,103900124,서울 성동구 금호동1가 1832,,4591,814,8834
버스,논골.금호벽산아파트.성동공유센터,,4,127.025349,37.5555492,N,Y,N,금호동1가,11200109,103900029,서울 성동구 금호동1가 168-298,,4523,18602,3516
버스,논골.대림아파트107동.금호동벽산아파트,,2,127.0249544,37.5558964,N,Y,N,행당동,11200107,103900216,서울 성동구 행당동 347,,4846,126,6450
버스,논골사거리,,1,127.0248124,37.55531503,N,Y,N,금호동1가,11200109,103900076,서울 성동구 금호동1가 710-2,,4554,8302,9907
