대중교통,역(정류장),호선(명),노선(수),x_좌표,y_좌표,지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),동_이름,GID,NODE_ID,주소,도로명
버스,동작상떼빌아파트,,17,126.904448,37.486449,N,Y,N,신대방동,11590109,119000001,서울 동작구 신대방동 699-4,-
버스,동작상떼빌아파트,,1,126.907103,37.488254,N,Y,N,신대방동,11590109,119000116,서울 동작구 신대방동 686-74,서울특별시 동작구 대림로 57 (신대방동)
버스,신대방경남아파트,,2,126.907227,37.488429,N,Y,N,신대방동,11590109,119000117,서울 동작구 신대방동 700,-
버스,신대방1동경남아파트,,1,126.907561,37.489932,N,Y,N,신대방동,11590109,118900115,서울 동작구 신대방동 607-7,서울특별시 동작구 시흥대로 650-2 (신대방동)
버스,성원샹떼빌앞,,1,126.908042,37.487706,N,Y,N,신대방동,11590109,119900021,서울 동작구 신대방동 719,"서울특별시 동작구 신대방1가길 38 (신대방동, 동작상떼빌아파트)"
버스,신대방1동주민센터,,1,126.909579,37.487041,N,Y,N,신대방동,11590109,119900012,서울 동작구 신대방동 694-13,서울특별시 동작구 대림로 31 (신대방동)
버스,신대방1동주민센터,,1,126.909746,37.487212,N,Y,N,신대방동,11590109,119900271,서울 동작구 신대방동 700-2,-
버스,신대방우성아파트앞,,1,126.910382,37.493343,N,Y,N,신대방동,11590109,119900237,서울 동작구 신대방동 565-21,"서울특별시 동작구 여의대방로 8 (신대방동, 신대방2차우성아파트)"
버스,신대방현대아파트,,7,126.911479,37.495282,N,Y,N,신대방동,11590109,119000003,서울 동작구 신대방동 492-261,-
버스,신대방현대아파트,,1,126.911543,37.495228,N,Y,N,신대방동,11590109,119900327,서울 동작구 신대방동 707-6,-
버스,신대방역,,1,126.911743,37.487413,N,Y,N,신대방동,11590109,119000115,서울 동작구 신대방동 692-46,서울특별시 동작구 대림로 12-1 (신대방동)
버스,신대방역,,2,126.912316,37.487379,N,Y,N,신대방동,11590109,119000114,서울 동작구 신대방동 702-9,-
버스,신대방역,,1,126.913014,37.487502,N,Y,N,신대방동,11590109,119900242,서울 동작구 신대방동 643-1,서울특별시 동작구 대림로 2 (신대방동)
버스,교수아파트,,1,126.913423,37.496296,N,Y,N,신대방동,11590109,119900236,서울 동작구 신대방동 710,"서울특별시 동작구 여의대방로10길 14 (신대방동, 경남교수아파트)"
버스,대방중학교,,1,126.914493,37.495492,N,Y,N,신대방동,11590109,119900299,서울 동작구 신대방동 470-10,-
버스,수도여고,,1,126.915251,37.493555,N,Y,N,신대방동,11590109,119900300,서울 동작구 신대방동 470-13,서울특별시 동작구 여의대방로10길 73 (신대방동)
버스,보라매공원,,7,126.916221,37.496899,N,Y,N,신대방동,11590109,119000004,서울 동작구 신대방동 500-8,-
버스,동작구민체육센터.기상청,,1,126.91718,37.494414,N,Y,N,신대방동,11590109,119900302,서울 동작구 신대방동 460-37,-
버스,동작구민체육센터.기상청,,1,126.917242,37.49424,N,Y,N,신대방동,11590109,119900301,서울 동작구 신대방동 460-18,서울특별시 동작구 여의대방로16길 61 (신대방동)
