대중교통,역(정류장),호선명,노선(수),x_좌표,y_좌표,지하철_여부,버스_여부,따릉이_여부,동_이름,GID,NODE_ID,주소,도로명,버스정류장ARS번호,총승차인원,총하차인원
버스,e편한세상금호109동,,2,127.021876,37.553483,N,Y,N,금호동1가,11200109,103900267.0,서울 성동구 금호동1가 558-1,-,4879.0,89.0,1356.0
버스,e편한세상금호117동,,2,127.024679,37.552657,N,Y,N,금호동1가,11200109,103900131.0,서울 성동구 금호동1가 1825,-,4602.0,446.0,2353.0
버스,GS25,,1,127.0671618,37.55030467,N,Y,N,송정동,11200118,103900057.0,서울 성동구 송정동 73-577,서울특별시 성동구 광나루로11길 28 (송정동),4659.0,1215.0,1958.0
버스,GS주유소,,1,127.0251254,37.54681133,N,Y,N,금호동4가,11200112,103900147.0,서울 성동구 금호동4가 189,-,4697.0,5537.0,2175.0
버스,SK테크노빌딩앞,,1,127.050228,37.545888,N,Y,N,성수동1가,11200114,103000139.0,서울 성동구 성수동2가 276-5,서울특별시 성동구 성수이로 101-1 (성수동2가),4241.0,261.0,1783.0
버스,경동초등학교입구,,2,127.04948,37.54377,N,Y,N,성수동1가,11200114,103000141.0,서울 성동구 성수동1가 694-3,-,4243.0,2416.0,3852.0
버스,경동초등학교입구,,2,127.0492129,37.5433913,N,Y,N,성수동1가,11200114,103000142.0,서울 성동구 성수동1가 656-6,-,4244.0,5010.0,2415.0
버스,경동초등학교입구,,1,127.051155,37.545895,N,Y,N,성수동2가,11200115,103900299.0,서울 성동구 성수동2가 276-5,서울특별시 성동구 성수이로 101-1 (성수동2가),4547.0,3573.0,1534.0
버스,경수중학교,,11,127.0622986,37.53816503,N,Y,N,성수동2가,11200115,,서울 광진구 자양동 236,서울특별시 광진구 동일로 56 (자양동),,,
버스,경수중학교,,4,127.0570118,37.53828654,N,Y,N,성수동2가,11200115,,서울 성동구 성수동2가 331-9,-,,,
버스,경수중학교,,4,127.0572982,37.53969986,N,Y,N,성수동2가,11200115,,서울 성동구 성수동2가 269-278,서울특별시 성동구 성수이로12길 17-1 (성수동2가),,,
버스,경수중학교입구,,1,127.059621,37.543514,N,Y,N,성수동2가,11200115,,서울 성동구 성수동2가 289-36,-,,,
버스,경수중학교입구,,1,127.060089,37.543363,N,Y,N,성수동2가,11200115,,서울 성동구 성수동2가 289-36,-,,,
버스,경일중고등학교,,1,127.049131,37.542316,N,Y,N,성수동1가,11200114,103900251.0,서울 성동구 성수동1가 694-3,-,4852.0,159.0,1647.0
버스,경일중고등학교,,1,127.04921,37.542503,N,Y,N,성수동1가,11200114,103900262.0,서울 성동구 성수동1가 26-7,-,4863.0,1381.0,179.0
버스,경일초등학교앞,,2,127.048207,37.540772,N,Y,N,성수동1가,11200114,103000143.0,서울 성동구 성수동1가 72-128,-,4245.0,1804.0,4638.0
버스,경일초등학교앞,,2,127.048175,37.540917,N,Y,N,성수동1가,11200114,103000144.0,서울 성동구 성수동1가 72-128,-,4246.0,4431.0,2469.0
버스,경일초등학교입구,,2,127.046372,37.541079,N,Y,N,성수동1가,11200114,103000084.0,서울 성동구 성수동1가 656-1277,-,4183.0,3156.0,160.0
버스,경일초등학교입구,,2,127.046014,37.541382,N,Y,N,성수동1가,11200114,103000085.0,서울 성동구 성수동1가 656-235,서울특별시 성동구 뚝섬로1길 2 (성수동1가),4184.0,142.0,3288.0
버스,광희중학교.응봉역,,1,127.0350585,37.55191103,N,Y,N,응봉동,11200108,103900175.0,서울 성동구 응봉동 59,"서울특별시 성동구 독서당로63길 59 (응봉동, 응봉동다세대)",4821.0,751.0,1583.0
버스,국민은행,,1,127.0122219,37.54269716,N,Y,N,옥수동,11200113,103900190.0,서울 성동구 옥수동 산 5-150,-,4802.0,1424.0,1135.0
버스,국민은행,,1,127.0127561,37.5427782,N,Y,N,옥수동,11200113,103900191.0,서울 성동구 옥수동 244-11,서울특별시 성동구 독서당로 194-1 (옥수동),4803.0,626.0,1093.0
버스,군자교남단,,4,127.072438,37.557542,N,Y,N,송정동,11200118,103000117.0,서울 성동구 송정동 97-41,-,4216.0,8396.0,10017.0
버스,극동.풍림아파트,,1,127.023641,37.55904489,N,Y,N,하왕십리동,11200102,103900111.0,서울 성동구 하왕십리동 1000-674,-,4658.0,2208.0,9257.0
버스,극동그린아파트,,2,127.011905,37.54206463,N,Y,N,옥수동,11200113,103000179.0,서울 성동구 옥수동 559,서울특별시 성동구 독서당로 184 (옥수동),4282.0,3739.0,1028.0
버스,극동그린아파트앞,,3,127.011393,37.542003,N,Y,N,옥수동,11200113,103000168.0,서울 성동구 옥수동 산 5-149,-,4270.0,2718.0,3891.0
버스,극동아파트,,3,127.023935,37.558095,N,Y,N,하왕십리동,11200102,103000172.0,서울 성동구 하왕십리동 1060,-,4275.0,9296.0,5911.0
버스,극동아파트4동,,1,127.0116845,37.5435055,N,Y,N,옥수동,11200113,103900004.0,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),4759.0,2066.0,43.0
버스,극동아파트4동,,1,127.0115883,37.54353164,N,Y,N,옥수동,11200113,103900005.0,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),4758.0,27.0,3614.0
버스,극동아파트5동,,1,127.011079,37.54315954,N,Y,N,옥수동,11200113,103900149.0,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),4501.0,5334.0,10209.0
버스,극동아파트7동,,1,127.0126657,37.54372076,N,Y,N,옥수동,11200113,103900008.0,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),4755.0,378.0,33.0
버스,극동아파트7동,,1,127.012754,37.54361893,N,Y,N,옥수동,11200113,103900090.0,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),4587.0,59.0,2569.0
버스,극동아파트상가,,1,127.0121009,37.54291975,N,Y,N,옥수동,11200113,103900067.0,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),4519.0,2134.0,123.0
버스,극동아파트상가,,1,127.0123679,37.54291161,N,Y,N,옥수동,11200113,103900151.0,서울 성동구 옥수동 428,서울특별시 성동구 독서당로 187 (옥수동),4583.0,661.0,2021.0
버스,금남시장앞.백범학원터,,7,127.0218686,37.54808522,N,Y,N,금호동4가,11200112,103000054.0,서울 성동구 금호동4가 576-1,-,4153.0,47978.0,22778.0
버스,금남시장앞.백범학원터,,7,127.0224878,37.54828876,N,Y,N,금호동4가,11200112,103000055.0,서울 성동구 금호동3가 420-1,-,4154.0,35592.0,37858.0
버스,금남시장앞.백범학원터,,1,127.021648,37.54827449,N,Y,N,금호동3가,11200111,103900009.0,서울 성동구 금호동4가 576-1,-,4751.0,3912.0,5116.0
버스,금봉어린이집.또또와마트,,1,127.0288091,37.55290619,N,Y,N,금호동1가,11200109,103900047.0,서울 성동구 금호동1가 산 37-1,서울특별시 성동구 독서당로57가길 24 (금호동1가),4575.0,1501.0,454.0
버스,금봉어린이집.또또와마트,,1,127.0287944,37.55264238,N,Y,N,금호동1가,11200109,103900060.0,서울 성동구 금호동1가 산 37-1,서울특별시 성동구 독서당로57가길 24 (금호동1가),4686.0,1522.0,2793.0
버스,금북초등학교.e편한세상금호105동,,2,127.0237361,37.55553782,N,Y,N,금호동1가,11200109,103900120.0,서울 성동구 금호동1가 1823,"서울특별시 성동구 금호로 140 (금호동1가, 이편한세상금호파크힐스)",4515.0,1249.0,1659.0
버스,금북초등학교입구,,1,127.0236162,37.55565589,N,Y,N,금호동1가,11200109,103900196.0,서울 성동구 금호동1가 168-81,-,4827.0,556.0,509.0
