지역,총 생활 인구수 평균,정류장수,노선 수
강남구,873178.0016,424,2589
강동구,507919.6759,302,1329
강북구,270358.1871,195,921
강서구,546021.0052,335,1961
관악구,470038.4278,259,1379
광진구,379682.8846,174,980
구로구,413767.1208,254,1328
금천구,232453.3097,168,912
노원구,473246.1916,390,1751
도봉구,258856.1771,232,904
동대문구,371595.0531,258,1432
동작구,384856.723,141,1031
마포구,475151.6114,252,1571
서대문구,396956.016,211,1727
서초구,596001.0801,325,2629
성동구,357521.6922,187,685
성북구,432662.7533,282,1335
송파구,746983.7773,439,2519
양천구,365542.5105,257,1430
영등포구,518960.6519,291,1800
용산구,296502.3723,231,1022
은평구,422787.3416,323,1838
종로구,318152.0271,189,1258
중구,328560.9947,164,1222
중랑구,334038.2399,357,1768
