"대여소
번호",보관소(대여소)명,위도,경도
2002, 노들역 1번출구,37.51284409,126.9524689
2003, 사육신공원앞,37.51335907,126.9480591
2007, 유한양행앞,37.51293945,126.9342423
2008, 노량진근린공원 대방공원,37.5093689,126.9280701
2009, 보라매역 8번출구,37.50007629,126.9210815
2012, 대림사거리(동작상떼빌아파트),37.48836136,126.9062271
2013, 장승배기역 5번출구,37.50585175,126.9393616
2015, 신대방삼거리역 6번출구쪽,37.49985504,126.9295654
2016, 신대방삼거리역 3번출구쪽,37.49964523,126.9270935
2020, 장승배기역2번출구뒷편쪽,37.50449753,126.9389877
2024, 상도역 1번출구,37.50217819,126.948204
2025, 흑석역 1번출구,37.50938034,126.9636154
2026, 흑석역 4번출구,37.50858688,126.9634934
2027, 중앙대학교 정문 1,37.50704193,126.9591522
2032, 이수역 11번출구쪽,37.48550797,126.9816208
2033, 사당동 아르테스 웨딩앞,37.48149109,126.9815826
2034, 사당역 7번출구쪽,37.47689056,126.9805756
2036, 정금마을 마을버스정류장,37.49466324,126.9824448
2037, 동작역 5번출구 동작주차공원,37.50318909,126.97715
2038, 동작역 7번출구,37.50318146,126.9760895
2040, 비계 버스정류소,37.5063591,126.9690781
2041, 사당중학교 버스정류소,37.48683548,126.9680481
2048, 삼일초등학교 인근,37.48907852,126.9735642
2050, 노량진역 5번출구,37.51324844,126.9399719
2054, 삼익아파트,37.51054764,126.9448471
2056, 동작구민 체육센터,37.49449921,126.9165268
2057, 상도 아이파크 아파트,37.5008812,126.9417496
2058, 동작경찰서,37.5135231,126.9435272
2059, 보라매공원 정문,37.49707794,126.9177933
2060, 남성역3번출구 뒤,37.48463058,126.97155
2062, 사당새마을금고,37.48665237,126.9678421
2064, 흑석한강푸르지오 106동앞,37.50535583,126.9661789
2065, 서울시여성가족재단,37.51198959,126.9270859
2066, 양문교회 앞,37.48939896,126.9071121
2067, 보라매역?동작세무서 버스정류장(강남중학교방면),37.49766922,126.9198685
2068, 총신대 앞(육교),37.48815918,126.9664764
2069, 숭실대 입구역3번 출구 앞,37.4966011,126.953682
2070, 노량진역 2번 출구 앞,37.51391983,126.9430695
2071, 대림아파트 후문 상가 옆,37.48886871,126.9719086
237, 보라매 두산위브 건너편,37.49651337,126.9148026
2076,노들나루공원 입구,37.51357651,126.9555512
2077,노들역 3번출구,37.51193619,126.9541626
2078,흑석 아크로리버하임(103동),37.51083755,126.9616318
2079,중앙대학교 중앙광장,37.50667191,126.9577789
2080, 대방지하보도(대방동경남아너스빌아파트),37.51213455,126.9254379
2082,7호선 이수역7번출구,37.4846077,126.9817963
2083,흑석롯데캐슬에듀포레(107동),37.50470352,126.9607315
2084,e편한세상 상도노빌리티 앞,37.50456238,126.946785
2085,강남중학교 앞,37.50274277,126.9215775
2086,삼일수영장 앞,37.48712158,126.9743576
2088,상도중앙하이츠빌 입구,37.50024796,126.9497299
2089,사당역10번출구(금강빌딩),37.4791069,126.9815064
2090,기아자동차 사당점 앞,37.48377991,126.9779205
2091, 이수역9번출구,37.48470306,126.9805908
2092,흑석한강푸르지오(110동),37.50311279,126.9647141
2093,상도SH빌아파트 입구,37.50321198,126.9545975
2094,숭실대학교(중문),37.49550629,126.9563751
2095,경문고등학교 앞,37.49150085,126.9824066
2096,서울특별시 동작관악교육지원청,37.50251389,126.9406509
4152, 상도효성해링턴플레이스,37.50543213,126.9415131
4153, 흑석동효사정앞,37.51120377,126.9612808
4158, 노량진근린공원,37.50680542,126.9285049
4162, 노량진1동 청소년독서실,37.50785828,126.9471359
4167, 구로교 아래,37.48500824,126.9035034
4169, 신대방삼거리,37.49845505,126.9279785
4173, 중대후문 마을버스정류장,37.50444412,126.9502564
4175, 대방역2번출구,37.51262665,126.9274139
4177, 롯데캐슬 101동 앞,37.50157547,126.9459076
4178, 이수성결교회 옆,37.49814987,126.9836884
4181, 보라매공원역 2번출구,37.49582291,126.9178162
4179, 보라매병원역 1번출구,37.49322128,126.9234314
4180, 흑석동주민센터 입구,37.50682831,126.9667358
