정류장_이름,x_좌표,y_좌표
보라매역.동작세무서,126.9202610024,37.4989764909
공군호텔,126.9246177878,37.5102017522
동작상떼빌아파트,126.904448,37.486449
신대방현대아파트,126.911479,37.495282
보라매공원,126.916221,37.496899
보라매역.동작세무서,126.9201964462,37.4981412047
강남중학교,126.9218983526,37.5037895503
현대아파트,126.931437,37.513174
현대아파트.유한양행,126.9323737344,37.5132368488
노량진수산시장.CTS기독교TV,126.938456,37.513423
노량진수산시장.CTS기독교TV,126.9388655754,37.5134800797
노량진역,126.943811,37.513733
노량진역,126.9447114504,37.5138325876
노들역,126.949256,37.512825
노들역,126.9509621786,37.512734203
갯마을앞,126.983311749,37.4975550541
정금마을.방배경찰서,126.9826144422,37.4942338943
경문고교.배나무골앞,126.9825870522,37.4915946786
총신대입구역.남성시장입구앞,126.9822243706,37.4882168341
사당동우체국앞,126.9819451238,37.4832273743
방배노인종합복지관,126.9818145731,37.4806790282
서울지방병무청앞,126.923275,37.506935
공군호텔,126.9245410607,37.5100106698
대방역,126.926363433,37.5125881335
KT동작지사,126.9356600816,37.5130395413
노량진역3번출구,126.941878,37.513495
노량진역2번출구,126.943467,37.513905
사육신공원,126.946297,37.513367
사육신공원,126.947977,37.513315
노들역,126.951048,37.512865
노들역,126.951007,37.512565
흑석동효사정앞,126.960745,37.511554
흑석동효사정앞,126.9612375315,37.5115728985
흑석역.흑석동빗물펌프장,126.963213,37.508297
흑석역.명수대현대아파트,126.9650447528,37.5074984059
흑석역.명수대현대아파트,126.9655921789,37.5075850724
흑석동명수대현대아파트,126.966272,37.507348
비계,126.9680257853,37.5063016864
비계,126.9685844969,37.5064370015
흑석동한강현대아파트,126.971748,37.505867
흑석동한강현대아파트,126.9711242049,37.5054978005
동작역.국립현충원,126.976865,37.502586
동작역.국립현충원,126.9766525988,37.503188597
사당1동관악시장앞,126.977827,37.476833
예술인마을,126.972845088,37.4760492272
서울공업고등학교,126.922337,37.499775
서울공업고등학교,126.921570953,37.4999614514
대림초등학교,126.9264810316,37.4996077724
대림초등학교,126.926127913,37.4998553553
성대시장,126.9309085729,37.4999961167
성대시장,126.931693,37.500285
상도초등학교입구,126.9367655685,37.5033055411
상도초등학교입구,126.9357682657,37.502959881
장승배기역,126.9385221188,37.5046761432
동작문화복지센터.동작보건소,126.9407908692,37.5049377205
동작문화복지센터.동작보건소,126.94173,37.505327
상도노빌리티아파트,126.94594,37.504793
상도노빌리티아파트,126.9468675132,37.5043269596
상도터널노량진동,126.954114,37.512057
상도터널노량진동,126.9536978866,37.5120063166
상도터널상도동,126.9495037012,37.5045988081
상도터널상도동,126.9495190801,37.5038586483
상도역,126.9486225374,37.5016271328
상도역,126.9495197061,37.5012490566
상도동중앙하이츠빌.상도전통시장,126.9511850423,37.4988131751
상도동중앙하이츠빌.상도전통시장,126.9517743709,37.4986899661
숭실대입구역,126.9528,37.496923
숭실대입구역,126.9533491547,37.4961666089
숭실대입구역,126.9537334982,37.4964614208
봉현초등학교,126.956215,37.491679
봉천고개.관악현대아파트,126.9565953054,37.4917326146
숭실대정문앞,126.957055,37.49515
숭실대정문앞,126.9572808442,37.4953183557
숭실대별관앞,126.9602929082,37.4946390733
숭실대별관앞,126.959895,37.494983
사당5치안센터,126.9656493194,37.4890277761
총신대,126.9661798164,37.4887422791
총신대,126.966476,37.487863
