지역,총 생활 인구수 평균,정류장수,노선 수,정류장 평균 사용 인구,노선 평균 사용 인구
강남구,873178.0016,424,2589,2059.382079,337.2645815
강동구,507919.6759,302,1329,1681.853231,382.1818479
강북구,270358.1871,195,921,1386.452242,293.5485202
강서구,546021.0052,335,1961,1629.913448,278.4400842
관악구,470038.4278,259,1379,1814.820185,340.8545524
광진구,379682.8846,174,980,2182.085544,387.4315149
구로구,413767.1208,254,1328,1629.004413,311.5716271
금천구,232453.3097,168,912,1383.650653,254.883015
노원구,473246.1916,390,1751,1213.451773,270.2719541
도봉구,258856.1771,232,904,1115.759384,286.3453287
동대문구,371595.0531,258,1432,1440.290903,259.4937522
동작구,384856.723,141,1031,2729.480305,373.2848914
마포구,475151.6114,252,1571,1885.522267,302.4516941
서대문구,396956.016,211,1727,1881.308133,229.8529334
서초구,596001.0801,325,2629,1833.849477,226.702579
성동구,357521.6922,187,685,1911.880707,521.9294777
성북구,432662.7533,282,1335,1534.265083,324.09195
송파구,746983.7773,439,2519,1701.557579,296.5398084
양천구,365542.5105,257,1430,1422.344399,255.6241332
영등포구,518960.6519,291,1800,1783.369938,288.3114733
용산구,296502.3723,231,1022,1283.560053,290.1197381
은평구,422787.3416,323,1838,1308.939138,230.0257571
종로구,318152.0271,189,1258,1683.344059,252.9030422
중구,328560.9947,164,1222,2003.420699,268.8715178
중랑구,334038.2399,357,1768,935.6813443,188.9356561
