"대여소
번호",보관소(대여소)명,위도,경도
3511, 응봉역 1번출구,37.55125046,127.0351028
3513, 상왕십리역 1번출구,37.56460953,127.0291977
3514, 왕십리교회옆,37.56626129,127.0236969
3515, 서울숲 관리사무소,37.54281616,127.0420837
3525, 금호스포츠센터앞,37.54608917,127.0250702
3527, 왕십리 자이아파트(101동 앞),37.56179047,127.0243912
3530, 왕십리자이아파트 후문(삼거리),37.56014633,127.0263596
3531, 논골사거리(금호도서관 입구),37.55477905,127.0248413
3532, 왕십리KCC스위첸아파트,37.56068039,127.0267792
506, 금호 어울림 아파트 앞,37.54906082,127.0577927
508, 성수아카데미타워 앞,37.54516602,127.0575104
510,뚝도아리수정수센터 버스정류소 옆,37.54122162,127.0438004
511, 서울숲역 5번 출구 옆,37.54458237,127.0446091
512, 뚝섬역 1번 출구 옆,37.5485611,127.0450058
513, 뚝섬역 5번 출구 정류소 옆,37.54630661,127.0498047
514, 성수사거리 버스정류장 앞,37.54257965,127.0633087
518, 청계천 박물관 앞,37.57152557,127.0353546
519, 양지사거리,37.56699371,127.0299149
520, 상왕십리역 4번 출구 앞,37.56385803,127.0303192
521, 왕십리역 11번 출구 앞,37.56144714,127.0349197
522, 금호역 1번출구 앞,37.5486412,127.0164261
523, 옥수동성당 옆,37.54366302,127.014061
524, 래미안금호하이리버 아파트 102동 옆,37.55220032,127.0250549
525, 한양대병원사거리,37.55805206,127.0403519
526, 용답토속공원 앞,37.56351089,127.0567246
529, 장한평역 8번 출구 앞,37.56137085,127.0636597
530, 청계벽산아파트 앞,37.56874847,127.0304031
533, 금남시장 교차로,37.54814911,127.0210877
534, 금호사거리,37.54863358,127.0257263
535, 응봉삼거리,37.5539856,127.0335922
536, 행당역 2번출구 앞,37.55735016,127.029213
537, 한양대후문역 부근,37.56035614,127.0413971
538, 답십리역 8번출구 앞,37.56764984,127.0511551
550, 서울시설공단 앞,37.57164001,127.0356598
556, 달맞이공원,37.54205322,127.020401
557, 도선동 주민센터 앞,37.56764221,127.0256958
558, 성동광진 교육지원청 앞,37.56460571,127.0365219
559, 왕십리역 4번 출구 건너편,37.56109619,127.0367966
560, 비전교회 앞,37.55120468,127.0689316
561, 서울숲역 2번출구 앞,37.54281616,127.0446701
563, 성동세무서 건너편,37.5479126,127.0627518
564, 금호역 3번출구,37.54792786,127.0155716
565, 옥수역 3번출구,37.54136658,127.0177612
568,청계8가 사거리 B,37.57110214,127.0235596
569, 응봉현대아파트 정류소,37.54958344,127.0302429
578, 성동세무서 부근,37.54829025,127.0624619
579, 마장역 4번출구,37.56520462,127.0418472
582, 경일중학교 앞,37.54317856,127.0490799
583, 청계천 생태교실 앞,37.56797028,127.0468903
585, 성수2가1동 공영주차장 인근,37.53680801,127.0554886
586, 마장동 주민센터,37.56594086,127.0453949
587, 유니베라 앞,37.54541779,127.0526428
589, 성수역3번출구,37.54415894,127.0566559
594, 중랑물재생센터(서울새활용플라자),37.55830383,127.0580597
3544,한양대역 3번 출구,37.55453873,127.0437775
3545,한양대역 1번출구,37.55657959,127.0433579
3547,상왕십리역 6번 출입구,37.56438065,127.0288696
3548,뚝섬역 6번출구,37.54695892,127.0476685
3549,건영아파트 앞,37.55514145,127.071106
3550,금호나들목,37.54404068,127.023201
3551,성동도로사업소,37.55979919,127.0563278
3552,서울숲 공영주차장앞,37.54195786,127.0427704
3553,마장역3번출구,37.565979,127.0431137
3555,양지사거리(센트라스APT 115동앞),37.56681824,127.0291519
3556,신금호파크자이APT앞,37.55610657,127.019783
3557,서울숲리버뷰자이APT105동 앞,37.55653,127.0391312
3558,마장동 금호어울림APT앞,37.56339645,127.0418701
3559,성동구민종합체육센터 앞,37.54590988,127.0446014
3560,성동구 견인차량 보관소 앞,37.56370926,127.0564499
3561,행당동 삼부APT후문,37.55926895,127.0383987
3600,사근빗물펌프장 건너편,37.56119156,127.0496826
4353, 코오롱디지털타워 3차앞,37.54655838,127.0499878
4360, 르노삼성자동차 성수사업소 앞,37.54824448,127.0595779
4362, 행당중학교 후문,37.5540123,127.0415497
4363, 신금호역 2번출구 앞,37.55507278,127.0198898
4367, kt 행당빌딩 앞,37.55862045,127.0343552
4370,성동교 사거리,37.55141449,127.044754
4373, 서울숲 지식산업센터,37.54127502,127.0484924
4377, 우영테크노센터 앞,37.54332352,127.0597153
4381, 더스페이스타워 앞,37.55140305,127.0463638
4382, 페코텍글로벌허브빌딩 앞,37.54753494,127.0668259
4383, 푸조비즈타워 앞,37.54808044,127.0646133
4385, 용답동 우체국 주변,37.56168747,127.0615158
4386, 현대자동차 동부서비스센터 주변,37.546978,127.0579681
4387, 성수역 1번출구 주변,37.54555893,127.0533676
4389,서울숲역3번출구,37.54255676,127.0442352
4390,신답역 1번출구,37.57045364,127.0469437
4392,답십리역 6번출구,37.56678009,127.05233
4393,상원삼거리 장안철교 아래,37.55105209,127.0522232
4394,서울시립24시간게스트하우스,37.55433273,127.0582275
4396,마장축산물시장 서문 인근,37.56911469,127.0375443
4397,마장축산물시장 북문 건너편,37.57179642,127.0386581
4398,유원지식산업센터 앞,37.54436493,127.0559311
4399,더리브 세종타워 앞,37.54378128,127.0580368
