정류장_이름,x_좌표,y_좌표
응봉근린공원.금호산,127.016922,37.553522
답십리역사거리,127.0543961703,37.5654496127
청년회의소.서울새활용플라자,127.060482,37.562035
장한평역,127.066093,37.561188
상왕십리역,127.029075,37.564338
상왕십리역,127.0286812869,37.5646936321
왕십리센트라스아파트,127.024807,37.565215
왕십리교회,127.023678,37.56663
뉴타운아파트,127.026968,37.564877
청계벽산아파트.텐즈힐아파트,127.030377,37.568863
청계벽산아파트.텐즈힐아파트,127.03004,37.567955
왕십리도선동주민센터,127.024642,37.567617
왕십리2동주민센터,127.0332625935,37.56244961
코스모타워.서울신용보증재단성동지점,127.032902865,37.5629822568
성동구청,127.035915,37.563127
상왕십리역,127.0302446401,37.5648716583
상왕십리역.센트라스아파트,127.029978,37.565859
신금호역4번출구,127.02053,37.554143
마장동주민센터,127.04457376,37.5673234964
마장역,127.0423251779,37.5655825128
성동노인복지관,127.0415861333,37.5649375925
마장축산물시장,127.0380207293,37.5709505267
마장축산물시장,127.0375113528,37.5702590064
도선사거리,127.036955,37.567023
도선사거리,127.036487,37.566648
마장동금호아파트,127.041859032,37.5630713327
마장동금호아파트,127.0415811922,37.5621577226
한양대부속고등학교,127.041413,37.560925
한양대부속고등학교,127.0411546041,37.5603881249
한양대앞.한양시장,127.0409668475,37.5585823987
한양대앞,127.040647,37.558525
한양대정문,127.0431286432,37.5563883665
한양대정문앞,127.043138,37.556996
무학여고앞,127.034232,37.557855
무학여고,127.0338672615,37.5578953118
왕십리역,127.0361920228,37.5599473134
왕십리역,127.0362669183,37.5603365628
왕십리역,127.034688,37.560723
행당1동주민센터.성동소방서,127.038407,37.558268
서울숲삼부아파트,127.0379492742,37.5587230766
응봉동주민센터,127.0335007802,37.5533989566
응봉동주민센터,127.0334386918,37.5537612141
응봉사거리,127.0344580408,37.5552918803
응봉동현대아파트,127.030578,37.549732
응봉동현대아파트,127.0309,37.550222
대현산배수지공원입구,127.0200973882,37.5562783783
신금호역,127.020117586,37.5556051708
신금호역,127.019922,37.555678
금호고등학교,127.021945,37.553475
금호고등학교.금호자이1차아파트입구,127.0229328751,37.5531077251
금호동벽산아파트,127.0256791281,37.5511643996
래미안하이리버아파트,127.0254234439,37.5514582119
금호사거리,127.02606314,37.5488791385
금호사거리,127.0259773298,37.5494639682
금남시장앞.백범학원터,127.0218686315,37.5480852238
금남시장앞.백범학원터,127.022487755,37.5482887551
금호역,127.016267,37.547728
금호역,127.0155079421,37.548503108
금옥초등학교앞,127.0198923146,37.5469673139
금옥초등학교앞,127.018237,37.546254
