연번,호선,고유역번호(외부역코드),역명,위도,경도,작성일자
16,2,207,상왕십리,37.564504,127.028872,1983-11-30
17,2,208,왕십리,37.561159,127.035505,1983-11-30
18,2,209,한양대,37.55658,127.043504,1983-08-25
19,2,210,뚝섬,37.54718,127.047413,1983-04-30
20,2,211,성수,37.544628,127.055983,1980-08-20
56,2,245,신답,37.56147,127.056348,1980-09-30
57,2,244,용답,37.562181,127.050855,1980-08-30
77,3,324,금호,37.548269,127.015785,1985-10-18
78,3,325,옥수,37.541653,127.017303,1985-12-20
150,5,2539,신금호,37.554504,127.020403,1997-02-26
151,5,2540,행당,37.557297,127.029482,1997-02-28
152,5,2541,왕십리,37.56197,127.037264,1996-12-01
153,5,2542,마장,37.566066,127.042921,1996-02-15
154,5,2543,답십리,37.566833,127.05266,1996-02-01
-,수인분당,-,서울숲역,37.543685,127.044689,-
